index,sign,astrology_sign,importance
336,virgo and it's fun to think about,virgo,fun
337,leo and it's fun to think about,leo,fun
338,taurus but it doesn't matter,taurus,no importance
339,scorpio and it's fun to think about,scorpio,fun
340,leo,leo,no importance
341,gemini but it doesn't matter,gemini,no importance
342,cancer but it doesn't matter,cancer,no importance
343,pisces,pisces,no importance
344,cancer but it doesn't matter,cancer,no importance
345,gemini but it doesn't matter,gemini,no importance
346,virgo,virgo,no importance
347,aquarius but it doesn't matter,aquarius,no importance
348,Unknown,Unknown,Unknown
349,taurus but it doesn't matter,taurus,no importance
350,cancer and it matters a lot,cancer,importance
351,leo but it doesn't matter,leo,no importance
352,libra and it's fun to think about,libra,fun
353,libra but it doesn't matter,libra,no importance
354,cancer but it doesn't matter,cancer,no importance
355,Unknown,Unknown,Unknown
356,aries but it doesn't matter,aries,no importance
357,aquarius,aquarius,no importance
358,libra but it doesn't matter,libra,no importance
359,taurus and it's fun to think about,taurus,fun
360,capricorn and it's fun to think about,capricorn,fun
361,libra and it's fun to think about,libra,fun
362,taurus but it doesn't matter,taurus,no importance
363,leo,leo,no importance
364,virgo,virgo,no importance
365,cancer,cancer,no importance
366,Unknown,Unknown,Unknown
367,leo,leo,no importance
368,Unknown,Unknown,Unknown
369,sagittarius and it's fun to think about,sagittarius,fun
370,Unknown,Unknown,Unknown
371,gemini and it's fun to think about,gemini,fun
372,gemini but it doesn't matter,gemini,no importance
373,Unknown,Unknown,Unknown
374,sagittarius but it doesn't matter,sagittarius,no importance
375,pisces but it doesn't matter,pisces,no importance
376,taurus and it's fun to think about,taurus,fun
377,scorpio but it doesn't matter,scorpio,no importance
378,pisces and it's fun to think about,pisces,fun
379,libra and it's fun to think about,libra,fun
380,Unknown,Unknown,Unknown
381,aquarius,aquarius,no importance
382,Unknown,Unknown,Unknown
383,scorpio but it doesn't matter,scorpio,no importance
384,gemini and it's fun to think about,gemini,fun
385,Unknown,Unknown,Unknown
386,Unknown,Unknown,Unknown
387,leo and it's fun to think about,leo,fun
388,leo,leo,no importance
389,sagittarius but it doesn't matter,sagittarius,no importance
390,leo and it's fun to think about,leo,fun
391,aries and it's fun to think about,aries,fun
392,aquarius and it's fun to think about,aquarius,fun
393,Unknown,Unknown,Unknown
394,sagittarius and it's fun to think about,sagittarius,fun
395,capricorn,capricorn,no importance
396,gemini but it doesn't matter,gemini,no importance
397,cancer and it's fun to think about,cancer,fun
398,libra but it doesn't matter,libra,no importance
399,capricorn,capricorn,no importance
400,Unknown,Unknown,Unknown
401,cancer,cancer,no importance
402,Unknown,Unknown,Unknown
403,gemini but it doesn't matter,gemini,no importance
404,libra and it's fun to think about,libra,fun
405,cancer,cancer,no importance
406,libra but it doesn't matter,libra,no importance
407,Unknown,Unknown,Unknown
408,capricorn and it's fun to think about,capricorn,fun
409,Unknown,Unknown,Unknown
410,libra but it doesn't matter,libra,no importance
411,taurus but it doesn't matter,taurus,no importance
412,gemini and it's fun to think about,gemini,fun
413,sagittarius and it's fun to think about,sagittarius,fun
414,virgo but it doesn't matter,virgo,no importance
415,capricorn,capricorn,no importance
416,aries,aries,no importance
417,cancer,cancer,no importance
418,sagittarius but it doesn't matter,sagittarius,no importance
419,Unknown,Unknown,Unknown
420,libra and it's fun to think about,libra,fun
421,Unknown,Unknown,Unknown
422,aries but it doesn't matter,aries,no importance
423,aquarius,aquarius,no importance
424,capricorn and it's fun to think about,capricorn,fun
425,Unknown,Unknown,Unknown
426,libra,libra,no importance
427,capricorn but it doesn't matter,capricorn,no importance
428,libra,libra,no importance
429,pisces but it doesn't matter,pisces,no importance
430,Unknown,Unknown,Unknown
431,taurus and it's fun to think about,taurus,fun
432,virgo,virgo,no importance
433,pisces,pisces,no importance
434,aquarius,aquarius,no importance
435,virgo,virgo,no importance
436,virgo but it doesn't matter,virgo,no importance
437,gemini and it's fun to think about,gemini,fun
438,sagittarius but it doesn't matter,sagittarius,no importance
439,sagittarius and it's fun to think about,sagittarius,fun
440,aquarius,aquarius,no importance
441,capricorn,capricorn,no importance
442,libra but it doesn't matter,libra,no importance
443,aquarius but it doesn't matter,aquarius,no importance
444,Unknown,Unknown,Unknown
445,taurus and it's fun to think about,taurus,fun
446,cancer but it doesn't matter,cancer,no importance
447,Unknown,Unknown,Unknown
448,Unknown,Unknown,Unknown
449,virgo and it's fun to think about,virgo,fun
450,aquarius but it doesn't matter,aquarius,no importance
451,aries,aries,no importance
452,sagittarius but it doesn't matter,sagittarius,no importance
453,gemini,gemini,no importance
454,libra but it doesn't matter,libra,no importance
455,scorpio and it's fun to think about,scorpio,fun
456,Unknown,Unknown,Unknown
457,Unknown,Unknown,Unknown
458,pisces and it's fun to think about,pisces,fun
459,aries,aries,no importance
460,pisces and it's fun to think about,pisces,fun
461,libra but it doesn't matter,libra,no importance
462,Unknown,Unknown,Unknown
463,capricorn but it doesn't matter,capricorn,no importance
464,Unknown,Unknown,Unknown
465,Unknown,Unknown,Unknown
466,cancer and it's fun to think about,cancer,fun
467,sagittarius and it's fun to think about,sagittarius,fun
468,sagittarius,sagittarius,no importance
469,taurus and it's fun to think about,taurus,fun
470,aries,aries,no importance
471,virgo and it's fun to think about,virgo,fun
472,virgo and it's fun to think about,virgo,fun
473,taurus but it doesn't matter,taurus,no importance
474,pisces and it's fun to think about,pisces,fun
475,leo but it doesn't matter,leo,no importance
476,capricorn but it doesn't matter,capricorn,no importance
477,libra but it doesn't matter,libra,no importance
478,leo,leo,no importance
479,aries and it's fun to think about,aries,fun
480,taurus and it's fun to think about,taurus,fun
481,virgo,virgo,no importance
482,virgo but it doesn't matter,virgo,no importance
483,sagittarius and it's fun to think about,sagittarius,fun
484,leo and it's fun to think about,leo,fun
485,aquarius and it's fun to think about,aquarius,fun
486,aries but it doesn't matter,aries,no importance
487,cancer but it doesn't matter,cancer,no importance
488,taurus but it doesn't matter,taurus,no importance
489,cancer but it doesn't matter,cancer,no importance
490,leo but it doesn't matter,leo,no importance
491,capricorn and it's fun to think about,capricorn,fun
492,taurus and it's fun to think about,taurus,fun
493,scorpio and it's fun to think about,scorpio,fun
494,Unknown,Unknown,Unknown
495,libra and it's fun to think about,libra,fun
496,scorpio but it doesn't matter,scorpio,no importance
497,aries,aries,no importance
498,gemini but it doesn't matter,gemini,no importance
499,Unknown,Unknown,Unknown
500,Unknown,Unknown,Unknown
501,aquarius and it matters a lot,aquarius,importance
502,leo and it's fun to think about,leo,fun
503,sagittarius but it doesn't matter,sagittarius,no importance
504,aries and it's fun to think about,aries,fun
505,pisces,pisces,no importance
506,scorpio and it's fun to think about,scorpio,fun
507,capricorn and it's fun to think about,capricorn,fun
508,libra but it doesn't matter,libra,no importance
509,virgo,virgo,no importance
510,pisces,pisces,no importance
511,gemini and it's fun to think about,gemini,fun
512,leo and it's fun to think about,leo,fun
513,scorpio,scorpio,no importance
514,aquarius,aquarius,no importance
515,virgo and it's fun to think about,virgo,fun
516,Unknown,Unknown,Unknown
517,libra and it's fun to think about,libra,fun
518,cancer and it matters a lot,cancer,importance
519,scorpio and it's fun to think about,scorpio,fun
520,cancer and it's fun to think about,cancer,fun
521,leo and it's fun to think about,leo,fun
522,cancer and it's fun to think about,cancer,fun
523,sagittarius and it's fun to think about,sagittarius,fun
524,taurus and it's fun to think about,taurus,fun
525,capricorn and it's fun to think about,capricorn,fun
526,cancer but it doesn't matter,cancer,no importance
527,libra but it doesn't matter,libra,no importance
528,taurus but it doesn't matter,taurus,no importance
529,pisces and it's fun to think about,pisces,fun
530,capricorn and it's fun to think about,capricorn,fun
531,taurus but it doesn't matter,taurus,no importance
532,aquarius but it doesn't matter,aquarius,no importance
533,aries and it's fun to think about,aries,fun
534,scorpio and it's fun to think about,scorpio,fun
535,cancer and it's fun to think about,cancer,fun
536,virgo,virgo,no importance
537,aries,aries,no importance
538,aquarius but it doesn't matter,aquarius,no importance
539,gemini but it doesn't matter,gemini,no importance
540,Unknown,Unknown,Unknown
541,sagittarius,sagittarius,no importance
542,aquarius and it's fun to think about,aquarius,fun
543,gemini,gemini,no importance
544,leo,leo,no importance
545,leo and it's fun to think about,leo,fun
546,aries and it's fun to think about,aries,fun
547,aquarius,aquarius,no importance
548,gemini,gemini,no importance
549,sagittarius,sagittarius,no importance
550,Unknown,Unknown,Unknown
551,scorpio,scorpio,no importance
552,aquarius and it matters a lot,aquarius,importance
553,Unknown,Unknown,Unknown
554,Unknown,Unknown,Unknown
555,aquarius but it doesn't matter,aquarius,no importance
556,taurus and it's fun to think about,taurus,fun
557,Unknown,Unknown,Unknown
558,scorpio and it's fun to think about,scorpio,fun
559,sagittarius and it's fun to think about,sagittarius,fun
560,gemini and it's fun to think about,gemini,fun
561,sagittarius and it's fun to think about,sagittarius,fun
562,virgo,virgo,no importance
563,leo,leo,no importance
564,cancer and it's fun to think about,cancer,fun
565,aquarius but it doesn't matter,aquarius,no importance
566,cancer,cancer,no importance
567,aquarius and it's fun to think about,aquarius,fun
568,libra and it's fun to think about,libra,fun
569,sagittarius,sagittarius,no importance
570,libra,libra,no importance
571,pisces,pisces,no importance
572,virgo and it's fun to think about,virgo,fun
573,pisces but it doesn't matter,pisces,no importance
574,pisces but it doesn't matter,pisces,no importance
575,gemini but it doesn't matter,gemini,no importance
576,leo but it doesn't matter,leo,no importance
577,virgo,virgo,no importance
578,libra and it's fun to think about,libra,fun
579,Unknown,Unknown,Unknown
580,cancer and it's fun to think about,cancer,fun
581,gemini,gemini,no importance
582,gemini,gemini,no importance
583,gemini,gemini,no importance
584,scorpio but it doesn't matter,scorpio,no importance
585,gemini but it doesn't matter,gemini,no importance
586,Unknown,Unknown,Unknown
587,cancer but it doesn't matter,cancer,no importance
588,cancer,cancer,no importance
589,sagittarius and it's fun to think about,sagittarius,fun
590,aries and it's fun to think about,aries,fun
591,aquarius and it's fun to think about,aquarius,fun
592,pisces but it doesn't matter,pisces,no importance
593,aquarius but it doesn't matter,aquarius,no importance
594,cancer but it doesn't matter,cancer,no importance
595,sagittarius and it's fun to think about,sagittarius,fun
596,Unknown,Unknown,Unknown
597,aquarius and it's fun to think about,aquarius,fun
598,sagittarius and it's fun to think about,sagittarius,fun
599,gemini but it doesn't matter,gemini,no importance
600,virgo but it doesn't matter,virgo,no importance
601,libra and it's fun to think about,libra,fun
602,Unknown,Unknown,Unknown
603,scorpio and it's fun to think about,scorpio,fun
604,Unknown,Unknown,Unknown
605,leo and it's fun to think about,leo,fun
606,virgo,virgo,no importance
607,taurus,taurus,no importance
608,Unknown,Unknown,Unknown
609,libra but it doesn't matter,libra,no importance
610,Unknown,Unknown,Unknown
611,scorpio and it's fun to think about,scorpio,fun
612,cancer but it doesn't matter,cancer,no importance
613,taurus and it's fun to think about,taurus,fun
614,cancer and it's fun to think about,cancer,fun
615,aquarius and it's fun to think about,aquarius,fun
616,capricorn and it's fun to think about,capricorn,fun
617,leo,leo,no importance
618,Unknown,Unknown,Unknown
619,Unknown,Unknown,Unknown
620,cancer and it's fun to think about,cancer,fun
621,Unknown,Unknown,Unknown
622,taurus but it doesn't matter,taurus,no importance
623,virgo and it's fun to think about,virgo,fun
624,aquarius and it's fun to think about,aquarius,fun
625,pisces and it's fun to think about,pisces,fun
626,scorpio but it doesn't matter,scorpio,no importance
627,Unknown,Unknown,Unknown
628,leo but it doesn't matter,leo,no importance
629,Unknown,Unknown,Unknown
630,libra and it's fun to think about,libra,fun
631,cancer,cancer,no importance
632,scorpio,scorpio,no importance
633,Unknown,Unknown,Unknown
634,aries but it doesn't matter,aries,no importance
635,libra and it's fun to think about,libra,fun
636,aquarius and it's fun to think about,aquarius,fun
637,virgo and it's fun to think about,virgo,fun
638,sagittarius and it's fun to think about,sagittarius,fun
639,virgo and it's fun to think about,virgo,fun
640,capricorn but it doesn't matter,capricorn,no importance
641,gemini but it doesn't matter,gemini,no importance
642,pisces and it's fun to think about,pisces,fun
643,aquarius and it matters a lot,aquarius,importance
644,cancer and it's fun to think about,cancer,fun
645,aquarius and it's fun to think about,aquarius,fun
646,gemini,gemini,no importance
647,pisces and it matters a lot,pisces,importance
648,aries but it doesn't matter,aries,no importance
649,gemini,gemini,no importance
650,Unknown,Unknown,Unknown
651,Unknown,Unknown,Unknown
652,aries and it's fun to think about,aries,fun
653,cancer and it's fun to think about,cancer,fun
654,aries,aries,no importance
655,libra but it doesn't matter,libra,no importance
656,scorpio and it's fun to think about,scorpio,fun
657,virgo,virgo,no importance
658,libra,libra,no importance
659,capricorn but it doesn't matter,capricorn,no importance
660,pisces but it doesn't matter,pisces,no importance
661,scorpio,scorpio,no importance
662,gemini but it doesn't matter,gemini,no importance
663,cancer but it doesn't matter,cancer,no importance
664,taurus,taurus,no importance
665,capricorn but it doesn't matter,capricorn,no importance
666,gemini but it doesn't matter,gemini,no importance
667,taurus and it's fun to think about,taurus,fun
668,sagittarius,sagittarius,no importance
669,scorpio but it doesn't matter,scorpio,no importance
670,sagittarius but it doesn't matter,sagittarius,no importance
671,pisces,pisces,no importance
672,Unknown,Unknown,Unknown
673,taurus and it's fun to think about,taurus,fun
674,taurus but it doesn't matter,taurus,no importance
675,virgo and it's fun to think about,virgo,fun
676,Unknown,Unknown,Unknown
677,cancer and it's fun to think about,cancer,fun
678,capricorn and it's fun to think about,capricorn,fun
679,Unknown,Unknown,Unknown
680,pisces and it's fun to think about,pisces,fun
681,pisces and it's fun to think about,pisces,fun
682,scorpio,scorpio,no importance
683,sagittarius,sagittarius,no importance
684,sagittarius but it doesn't matter,sagittarius,no importance
685,Unknown,Unknown,Unknown
686,taurus and it's fun to think about,taurus,fun
687,gemini and it's fun to think about,gemini,fun
688,capricorn and it's fun to think about,capricorn,fun
689,virgo and it's fun to think about,virgo,fun
690,leo but it doesn't matter,leo,no importance
691,pisces and it's fun to think about,pisces,fun
692,leo and it matters a lot,leo,importance
693,libra but it doesn't matter,libra,no importance
694,pisces but it doesn't matter,pisces,no importance
695,Unknown,Unknown,Unknown
696,Unknown,Unknown,Unknown
697,libra but it doesn't matter,libra,no importance
698,Unknown,Unknown,Unknown
699,scorpio but it doesn't matter,scorpio,no importance
700,sagittarius but it doesn't matter,sagittarius,no importance
701,aries but it doesn't matter,aries,no importance
702,gemini,gemini,no importance
703,libra and it's fun to think about,libra,fun
704,aries but it doesn't matter,aries,no importance
705,cancer but it doesn't matter,cancer,no importance
706,libra but it doesn't matter,libra,no importance
707,aquarius,aquarius,no importance
708,cancer and it's fun to think about,cancer,fun
709,gemini and it's fun to think about,gemini,fun
710,gemini,gemini,no importance
711,sagittarius but it doesn't matter,sagittarius,no importance
712,Unknown,Unknown,Unknown
713,Unknown,Unknown,Unknown
714,taurus,taurus,no importance
715,scorpio,scorpio,no importance
716,virgo but it doesn't matter,virgo,no importance
717,leo but it doesn't matter,leo,no importance
718,Unknown,Unknown,Unknown
719,scorpio but it doesn't matter,scorpio,no importance
720,Unknown,Unknown,Unknown
721,cancer,cancer,no importance
722,taurus and it's fun to think about,taurus,fun
723,scorpio,scorpio,no importance
724,pisces,pisces,no importance
725,sagittarius but it doesn't matter,sagittarius,no importance
726,taurus and it's fun to think about,taurus,fun
727,aries and it's fun to think about,aries,fun
728,Unknown,Unknown,Unknown
729,aquarius but it doesn't matter,aquarius,no importance
730,capricorn but it doesn't matter,capricorn,no importance
731,cancer and it's fun to think about,cancer,fun
732,scorpio and it's fun to think about,scorpio,fun
733,virgo but it doesn't matter,virgo,no importance
734,gemini and it's fun to think about,gemini,fun
