index,pets,dogs,cats
269,likes dogs,like,no importance
270,likes dogs,like,no importance
271,likes dogs,like,no importance
272,has dogs and has cats,own,own
273,no importance,no importance,no importance
274,no importance,no importance,no importance
275,likes dogs and likes cats,like,like
276,no importance,no importance,no importance
277,likes dogs and likes cats,like,like
278,has cats,no importance,own
279,no importance,no importance,no importance
280,dislikes dogs and dislikes cats,like,like
281,likes dogs and likes cats,like,like
282,has dogs,own,no importance
283,has dogs and likes cats,own,like
284,likes dogs,like,no importance
285,has cats,no importance,own
286,likes dogs and likes cats,like,like
287,likes dogs and has cats,like,own
288,has dogs,own,no importance
289,no importance,no importance,no importance
290,likes dogs and likes cats,like,like
291,no importance,no importance,no importance
292,no importance,no importance,no importance
293,has dogs,own,no importance
294,has dogs and likes cats,own,like
295,no importance,no importance,no importance
296,no importance,no importance,no importance
297,no importance,no importance,no importance
298,has dogs,own,no importance
299,likes dogs and has cats,like,own
300,has dogs,own,no importance
301,likes dogs,like,no importance
302,likes dogs and likes cats,like,like
303,likes dogs and likes cats,like,like
304,likes dogs,like,no importance
305,likes dogs and dislikes cats,like,like
306,no importance,no importance,no importance
307,likes dogs and has cats,like,own
308,likes dogs and likes cats,like,like
309,likes dogs and likes cats,like,like
310,has dogs and likes cats,own,like
311,no importance,no importance,no importance
312,has cats,no importance,own
313,likes dogs and has cats,like,own
314,no importance,no importance,no importance
315,likes dogs and likes cats,like,like
316,has dogs and likes cats,own,like
317,likes dogs and likes cats,like,like
318,has cats,no importance,own
319,likes dogs and has cats,like,own
320,has cats,no importance,own
321,likes dogs and likes cats,like,like
322,has dogs and has cats,own,own
323,has dogs,own,no importance
324,likes dogs,like,no importance
325,no importance,no importance,no importance
326,likes dogs,like,no importance
327,likes dogs and likes cats,like,like
328,likes dogs and has cats,like,own
329,no importance,no importance,no importance
330,no importance,no importance,no importance
331,has dogs,own,no importance
332,no importance,no importance,no importance
333,has dogs and has cats,own,own
334,likes dogs and has cats,like,own
335,has dogs and has cats,own,own
336,likes cats,no importance,like
337,has dogs,own,no importance
338,likes dogs,like,no importance
339,likes dogs and likes cats,like,like
340,likes dogs and likes cats,like,like
341,likes dogs,like,no importance
342,no importance,no importance,no importance
343,has dogs and dislikes cats,own,like
344,likes dogs and likes cats,like,like
345,likes dogs and likes cats,like,like
346,no importance,no importance,no importance
347,has dogs,own,no importance
348,no importance,no importance,no importance
349,likes dogs,like,no importance
350,likes dogs and likes cats,like,like
351,likes dogs,like,no importance
352,likes dogs and likes cats,like,like
353,likes dogs and likes cats,like,like
354,likes dogs and has cats,like,own
355,no importance,no importance,no importance
356,likes dogs,like,no importance
357,has dogs and likes cats,own,like
358,likes dogs and has cats,like,own
359,no importance,no importance,no importance
360,likes dogs and likes cats,like,like
361,has dogs and has cats,own,own
362,likes dogs and likes cats,like,like
363,no importance,no importance,no importance
364,has dogs,own,no importance
365,no importance,no importance,no importance
366,no importance,no importance,no importance
367,likes dogs and likes cats,like,like
368,no importance,no importance,no importance
369,likes dogs,like,no importance
370,no importance,no importance,no importance
371,likes dogs and likes cats,like,like
372,likes dogs and has cats,like,own
373,no importance,no importance,no importance
374,no importance,no importance,no importance
375,no importance,no importance,no importance
376,likes dogs and likes cats,like,like
377,has dogs,own,no importance
378,has dogs,own,no importance
379,likes cats,no importance,like
380,no importance,no importance,no importance
381,no importance,no importance,no importance
382,has cats,no importance,own
383,likes dogs and likes cats,like,like
384,likes dogs and likes cats,like,like
385,no importance,no importance,no importance
386,has dogs,own,no importance
387,has dogs and has cats,own,own
388,no importance,no importance,no importance
389,no importance,no importance,no importance
390,likes dogs,like,no importance
391,no importance,no importance,no importance
392,has dogs and likes cats,own,like
393,has dogs,own,no importance
394,likes dogs,like,no importance
395,has cats,no importance,own
396,likes dogs and likes cats,like,like
397,likes dogs and likes cats,like,like
398,likes dogs and dislikes cats,like,like
399,no importance,no importance,no importance
400,no importance,no importance,no importance
401,likes dogs,like,no importance
402,likes dogs and likes cats,like,like
403,likes dogs and has cats,like,own
404,likes dogs and likes cats,like,like
405,has cats,no importance,own
406,likes dogs,like,no importance
407,no importance,no importance,no importance
408,no importance,no importance,no importance
409,likes dogs,like,no importance
410,likes dogs and dislikes cats,like,like
411,likes dogs and dislikes cats,like,like
412,likes dogs and likes cats,like,like
413,no importance,no importance,no importance
414,likes dogs and has cats,like,own
415,dislikes cats,no importance,like
416,no importance,no importance,no importance
417,likes dogs and likes cats,like,like
418,likes dogs and dislikes cats,like,like
419,dislikes dogs and dislikes cats,like,like
420,likes dogs and likes cats,like,like
421,likes dogs and likes cats,like,like
422,likes dogs and likes cats,like,like
423,has dogs and likes cats,own,like
424,no importance,no importance,no importance
425,has cats,no importance,own
426,no importance,no importance,no importance
427,no importance,no importance,no importance
428,no importance,no importance,no importance
429,no importance,no importance,no importance
430,likes dogs and likes cats,like,like
431,likes dogs and dislikes cats,like,like
432,has dogs and dislikes cats,own,like
433,no importance,no importance,no importance
434,no importance,no importance,no importance
435,likes dogs,like,no importance
436,likes dogs and has cats,like,own
437,likes cats,no importance,like
438,likes dogs and dislikes cats,like,like
439,has dogs,own,no importance
440,no importance,no importance,no importance
441,no importance,no importance,no importance
442,likes dogs and likes cats,like,like
443,likes dogs and likes cats,like,like
444,no importance,no importance,no importance
445,likes dogs and likes cats,like,like
446,no importance,no importance,no importance
447,likes dogs and dislikes cats,like,like
448,likes dogs and likes cats,like,like
449,likes dogs and likes cats,like,like
450,likes dogs and has cats,like,own
451,no importance,no importance,no importance
452,has dogs,own,no importance
453,no importance,no importance,no importance
454,likes dogs,like,no importance
455,no importance,no importance,no importance
456,no importance,no importance,no importance
457,no importance,no importance,no importance
458,likes dogs and likes cats,like,like
459,likes dogs and likes cats,like,like
460,likes dogs,like,no importance
461,likes dogs,like,no importance
462,no importance,no importance,no importance
463,likes dogs and likes cats,like,like
464,has dogs,own,no importance
465,no importance,no importance,no importance
466,has dogs and likes cats,own,like
467,likes dogs and likes cats,like,like
468,likes dogs,like,no importance
469,likes dogs and likes cats,like,like
470,no importance,no importance,no importance
471,likes dogs,like,no importance
472,likes dogs and likes cats,like,like
473,likes dogs and likes cats,like,like
474,likes dogs and likes cats,like,like
475,likes dogs and likes cats,like,like
476,likes dogs and likes cats,like,like
477,no importance,no importance,no importance
478,likes dogs and has cats,like,own
479,no importance,no importance,no importance
480,has dogs and likes cats,own,like
481,no importance,no importance,no importance
482,no importance,no importance,no importance
483,likes dogs and likes cats,like,like
484,likes dogs,like,no importance
485,has dogs,own,no importance
486,no importance,no importance,no importance
487,likes dogs and likes cats,like,like
488,likes dogs and likes cats,like,like
489,has dogs,own,no importance
490,likes dogs and dislikes cats,like,like
491,has dogs and has cats,own,own
492,likes dogs and likes cats,like,like
493,likes dogs and likes cats,like,like
494,no importance,no importance,no importance
495,likes dogs and has cats,like,own
496,dislikes dogs and dislikes cats,like,like
497,no importance,no importance,no importance
498,likes dogs and likes cats,like,like
499,no importance,no importance,no importance
500,no importance,no importance,no importance
501,no importance,no importance,no importance
502,likes dogs and likes cats,like,like
503,has dogs,own,no importance
504,likes dogs and likes cats,like,like
505,likes dogs,like,no importance
506,has dogs,own,no importance
507,likes dogs and likes cats,like,like
508,no importance,no importance,no importance
509,no importance,no importance,no importance
510,no importance,no importance,no importance
511,no importance,no importance,no importance
512,likes dogs and has cats,like,own
513,likes dogs,like,no importance
514,likes dogs and dislikes cats,like,like
515,likes dogs and likes cats,like,like
516,likes dogs,like,no importance
517,likes dogs,like,no importance
518,likes dogs and likes cats,like,like
519,likes dogs and has cats,like,own
520,likes dogs and likes cats,like,like
521,no importance,no importance,no importance
522,no importance,no importance,no importance
523,likes dogs and has cats,like,own
524,has dogs,own,no importance
525,likes dogs and dislikes cats,like,like
526,no importance,no importance,no importance
527,likes dogs,like,no importance
528,likes dogs and likes cats,like,like
529,likes dogs,like,no importance
530,likes dogs and likes cats,like,like
531,likes dogs and has cats,like,own
532,likes dogs and likes cats,like,like
533,no importance,no importance,no importance
534,no importance,no importance,no importance
535,has dogs and has cats,own,own
536,has dogs and has cats,own,own
537,likes dogs,like,no importance
538,likes dogs,like,no importance
539,no importance,no importance,no importance
540,no importance,no importance,no importance
541,no importance,no importance,no importance
542,likes dogs and likes cats,like,like
543,likes dogs and likes cats,like,like
544,has dogs,own,no importance
545,likes dogs and likes cats,like,like
546,likes dogs and likes cats,like,like
547,no importance,no importance,no importance
548,no importance,no importance,no importance
549,has dogs and likes cats,own,like
550,likes dogs,like,no importance
551,no importance,no importance,no importance
552,likes dogs and has cats,like,own
553,no importance,no importance,no importance
554,no importance,no importance,no importance
555,likes dogs,like,no importance
556,likes dogs and has cats,like,own
557,likes dogs,like,no importance
558,likes dogs and likes cats,like,like
559,has cats,no importance,own
560,likes dogs and likes cats,like,like
561,no importance,no importance,no importance
562,has dogs and likes cats,own,like
563,no importance,no importance,no importance
564,likes dogs and likes cats,like,like
565,likes dogs and likes cats,like,like
566,no importance,no importance,no importance
567,likes dogs,like,no importance
568,likes dogs and likes cats,like,like
569,no importance,no importance,no importance
570,has dogs,own,no importance
571,has dogs,own,no importance
572,likes dogs,like,no importance
573,no importance,no importance,no importance
574,likes dogs,like,no importance
575,likes dogs and dislikes cats,like,like
576,no importance,no importance,no importance
577,no importance,no importance,no importance
578,no importance,no importance,no importance
579,no importance,no importance,no importance
580,has dogs,own,no importance
581,has dogs and has cats,own,own
582,likes dogs and has cats,like,own
583,likes dogs and has cats,like,own
584,no importance,no importance,no importance
585,has dogs and likes cats,own,like
586,likes dogs and likes cats,like,like
587,likes dogs,like,no importance
588,no importance,no importance,no importance
589,no importance,no importance,no importance
590,likes dogs and has cats,like,own
591,likes dogs and likes cats,like,like
592,likes dogs and likes cats,like,like
593,has cats,no importance,own
594,likes dogs and has cats,like,own
595,no importance,no importance,no importance
596,no importance,no importance,no importance
597,likes dogs and likes cats,like,like
598,likes dogs and likes cats,like,like
599,no importance,no importance,no importance
600,likes dogs and dislikes cats,like,like
601,likes dogs,like,no importance
602,has dogs,own,no importance
603,has dogs,own,no importance
604,likes dogs and likes cats,like,like
605,likes dogs and likes cats,like,like
606,has dogs,own,no importance
607,likes dogs and likes cats,like,like
608,no importance,no importance,no importance
609,likes dogs and likes cats,like,like
610,no importance,no importance,no importance
611,has dogs,own,no importance
612,likes dogs and likes cats,like,like
613,likes dogs,like,no importance
614,has dogs and has cats,own,own
615,has dogs and likes cats,own,like
616,dislikes dogs and dislikes cats,like,like
617,has dogs,own,no importance
618,likes dogs and dislikes cats,like,like
619,no importance,no importance,no importance
620,likes dogs and likes cats,like,like
621,no importance,no importance,no importance
622,has dogs,own,no importance
623,likes dogs and dislikes cats,like,like
624,likes dogs and likes cats,like,like
625,no importance,no importance,no importance
626,has dogs,own,no importance
627,likes dogs,like,no importance
628,likes dogs,like,no importance
629,no importance,no importance,no importance
630,no importance,no importance,no importance
631,likes dogs,like,no importance
632,likes dogs and dislikes cats,like,like
633,no importance,no importance,no importance
634,likes dogs and has cats,like,own
635,likes dogs and has cats,like,own
636,has cats,no importance,own
637,has dogs,own,no importance
638,likes dogs and likes cats,like,like
639,likes cats,no importance,like
640,likes dogs and likes cats,like,like
641,has dogs and likes cats,own,like
642,likes dogs and has cats,like,own
643,no importance,no importance,no importance
644,no importance,no importance,no importance
645,likes dogs and likes cats,like,like
646,no importance,no importance,no importance
647,likes dogs,like,no importance
648,no importance,no importance,no importance
649,has dogs and has cats,own,own
650,no importance,no importance,no importance
651,no importance,no importance,no importance
652,has cats,no importance,own
653,likes dogs and has cats,like,own
654,likes dogs and likes cats,like,like
655,no importance,no importance,no importance
656,likes dogs and dislikes cats,like,like
657,no importance,no importance,no importance
658,no importance,no importance,no importance
659,no importance,no importance,no importance
660,likes dogs and likes cats,like,like
661,likes dogs and likes cats,like,like
662,likes dogs and likes cats,like,like
663,likes dogs and likes cats,like,like
664,no importance,no importance,no importance
665,has dogs and likes cats,own,like
666,likes dogs,like,no importance
667,has dogs and likes cats,own,like
668,likes dogs,like,no importance
669,no importance,no importance,no importance
670,likes dogs and likes cats,like,like
671,no importance,no importance,no importance
672,likes dogs and dislikes cats,like,like
673,likes dogs and likes cats,like,like
674,no importance,no importance,no importance
675,likes dogs and likes cats,like,like
676,no importance,no importance,no importance
677,likes dogs and likes cats,like,like
678,likes dogs and likes cats,like,like
679,likes dogs and has cats,like,own
680,has dogs and likes cats,own,like
681,likes dogs and has cats,like,own
682,no importance,no importance,no importance
683,has dogs and likes cats,own,like
684,likes dogs and likes cats,like,like
685,likes dogs and likes cats,like,like
686,has dogs,own,no importance
687,has dogs and likes cats,own,like
688,likes dogs and likes cats,like,like
689,likes dogs,like,no importance
690,likes dogs and likes cats,like,like
691,likes dogs and likes cats,like,like
692,has dogs and has cats,own,own
693,has dogs and has cats,own,own
694,likes dogs,like,no importance
695,no importance,no importance,no importance
696,has dogs,own,no importance
697,no importance,no importance,no importance
698,no importance,no importance,no importance
699,has dogs and likes cats,own,like
700,no importance,no importance,no importance
701,no importance,no importance,no importance
702,has cats,no importance,own
703,has dogs and dislikes cats,own,like
704,no importance,no importance,no importance
705,no importance,no importance,no importance
706,no importance,no importance,no importance
707,likes dogs and likes cats,like,like
708,likes dogs and likes cats,like,like
709,likes dogs and dislikes cats,like,like
710,no importance,no importance,no importance
711,has dogs and has cats,own,own
712,no importance,no importance,no importance
713,likes dogs and has cats,like,own
714,has dogs,own,no importance
715,likes dogs and has cats,like,own
716,has dogs,own,no importance
717,no importance,no importance,no importance
718,no importance,no importance,no importance
719,likes cats,no importance,like
720,likes dogs,like,no importance
721,likes dogs,like,no importance
722,likes dogs and likes cats,like,like
723,no importance,no importance,no importance
724,likes dogs and likes cats,like,like
725,likes dogs,like,no importance
726,has dogs,own,no importance
727,has dogs and has cats,own,own
728,no importance,no importance,no importance
729,no importance,no importance,no importance
730,has dogs,own,no importance
731,no importance,no importance,no importance
732,likes dogs and likes cats,like,like
733,no importance,no importance,no importance
734,no importance,no importance,no importance
735,likes dogs and likes cats,like,like
736,likes dogs and likes cats,like,like
737,likes dogs and likes cats,like,like
738,likes dogs and has cats,like,own
739,likes dogs and has cats,like,own
740,likes dogs and dislikes cats,like,like
741,likes cats,no importance,like
742,no importance,no importance,no importance
743,likes dogs and dislikes cats,like,like
744,likes dogs,like,no importance
745,likes dogs and likes cats,like,like
746,likes cats,no importance,like
747,no importance,no importance,no importance
748,likes dogs and dislikes cats,like,like
749,has dogs and likes cats,own,like
750,likes dogs and likes cats,like,like
751,no importance,no importance,no importance
752,no importance,no importance,no importance
753,likes dogs and likes cats,like,like
754,no importance,no importance,no importance
755,likes dogs and likes cats,like,like
756,no importance,no importance,no importance
757,no importance,no importance,no importance
758,no importance,no importance,no importance
759,has dogs and likes cats,own,like
760,likes dogs,like,no importance
761,no importance,no importance,no importance
762,has dogs and dislikes cats,own,like
763,no importance,no importance,no importance
764,likes dogs and likes cats,like,like
765,likes dogs and dislikes cats,like,like
766,no importance,no importance,no importance
767,no importance,no importance,no importance
768,likes dogs,like,no importance
769,likes dogs and likes cats,like,like
770,no importance,no importance,no importance
771,likes dogs and likes cats,like,like
772,no importance,no importance,no importance
773,no importance,no importance,no importance
774,likes dogs,like,no importance
775,likes dogs,like,no importance
776,likes dogs and likes cats,like,like
777,likes dogs and likes cats,like,like
778,has dogs and likes cats,own,like
779,likes dogs and likes cats,like,like
780,likes dogs,like,no importance
781,dislikes dogs and dislikes cats,like,like
782,has dogs,own,no importance
783,likes dogs,like,no importance
784,likes dogs,like,no importance
785,likes dogs and likes cats,like,like
786,likes dogs and likes cats,like,like
787,has dogs and likes cats,own,like
788,has cats,no importance,own
789,likes dogs,like,no importance
790,no importance,no importance,no importance
791,likes dogs and likes cats,like,like
792,no importance,no importance,no importance
793,no importance,no importance,no importance
794,no importance,no importance,no importance
795,likes dogs and dislikes cats,like,like
796,dislikes cats,no importance,like
797,no importance,no importance,no importance
798,likes dogs and likes cats,like,like
799,likes dogs and likes cats,like,like
800,likes dogs and likes cats,like,like
801,likes dogs and has cats,like,own
802,has dogs and likes cats,own,like
803,no importance,no importance,no importance
804,no importance,no importance,no importance
805,no importance,no importance,no importance
806,has dogs,own,no importance
807,likes cats,no importance,like
808,likes cats,no importance,like
809,likes dogs and likes cats,like,like
810,no importance,no importance,no importance
811,likes dogs and likes cats,like,like
812,no importance,no importance,no importance
813,has dogs,own,no importance
814,likes dogs and likes cats,like,like
815,no importance,no importance,no importance
816,no importance,no importance,no importance
817,likes dogs,like,no importance
818,no importance,no importance,no importance
819,likes dogs and has cats,like,own
820,no importance,no importance,no importance
821,likes dogs and likes cats,like,like
822,has dogs and likes cats,own,like
823,likes dogs and likes cats,like,like
824,likes dogs and likes cats,like,like
825,likes cats,no importance,like
826,likes dogs and likes cats,like,like
827,no importance,no importance,no importance
828,likes dogs,like,no importance
829,no importance,no importance,no importance
830,likes dogs and likes cats,like,like
831,likes dogs and likes cats,like,like
832,no importance,no importance,no importance
833,likes dogs,like,no importance
834,likes dogs and has cats,like,own
835,no importance,no importance,no importance
836,likes dogs and likes cats,like,like
837,likes dogs and likes cats,like,like
838,likes dogs and likes cats,like,like
839,has dogs and likes cats,own,like
840,likes dogs and likes cats,like,like
841,likes cats,no importance,like
842,has dogs,own,no importance
843,no importance,no importance,no importance
844,has dogs and has cats,own,own
845,has dogs,own,no importance
846,likes dogs and likes cats,like,like
847,has cats,no importance,own
848,likes dogs,like,no importance
849,no importance,no importance,no importance
850,likes dogs and likes cats,like,like
851,no importance,no importance,no importance
852,no importance,no importance,no importance
853,no importance,no importance,no importance
854,likes dogs and has cats,like,own
855,likes dogs,like,no importance
856,likes dogs,like,no importance
857,likes dogs and dislikes cats,like,like
858,likes dogs and has cats,like,own
859,no importance,no importance,no importance
860,likes dogs and likes cats,like,like
861,no importance,no importance,no importance
862,no importance,no importance,no importance
863,no importance,no importance,no importance
864,likes cats,no importance,like
865,has dogs,own,no importance
866,likes dogs and likes cats,like,like
867,likes dogs,like,no importance
868,likes dogs and likes cats,like,like
869,likes dogs and likes cats,like,like
870,no importance,no importance,no importance
871,no importance,no importance,no importance
872,has dogs,own,no importance
873,no importance,no importance,no importance
874,no importance,no importance,no importance
875,likes dogs and likes cats,like,like
876,likes dogs and likes cats,like,like
877,likes dogs and likes cats,like,like
878,no importance,no importance,no importance
879,likes dogs and has cats,like,own
880,has dogs,own,no importance
881,no importance,no importance,no importance
882,likes dogs and likes cats,like,like
883,no importance,no importance,no importance
884,likes dogs and likes cats,like,like
885,likes dogs and likes cats,like,like
886,likes dogs,like,no importance
887,likes dogs and likes cats,like,like
888,has cats,no importance,own
889,likes cats,no importance,like
890,no importance,no importance,no importance
891,no importance,no importance,no importance
892,likes dogs,like,no importance
893,likes dogs and likes cats,like,like
894,likes dogs and likes cats,like,like
895,likes dogs and likes cats,like,like
896,no importance,no importance,no importance
897,no importance,no importance,no importance
898,has cats,no importance,own
899,no importance,no importance,no importance
900,has dogs,own,no importance
901,no importance,no importance,no importance
902,likes dogs,like,no importance
903,has dogs and dislikes cats,own,like
904,likes dogs,like,no importance
905,likes dogs and has cats,like,own
906,has cats,no importance,own
907,no importance,no importance,no importance
908,has cats,no importance,own
909,likes dogs and likes cats,like,like
910,likes dogs and has cats,like,own
911,no importance,no importance,no importance
912,likes dogs and likes cats,like,like
913,no importance,no importance,no importance
914,likes dogs and has cats,like,own
915,likes dogs and likes cats,like,like
916,likes dogs and likes cats,like,like
917,no importance,no importance,no importance
918,no importance,no importance,no importance
919,has dogs and has cats,own,own
920,likes dogs and has cats,like,own
921,likes dogs and likes cats,like,like
922,likes dogs and likes cats,like,like
923,no importance,no importance,no importance
