index,speaks,fluent,good
115,english (fluently),english,
116,"english (fluently), sign language (okay), hindi (fluently)","english, hindi",sign language
117,"english (fluently), spanish (fluently)","english, spanish",
118,"english (fluently), russian (okay)",english,russian
119,"english (fluently), polish (fluently)","english, polish",
120,"english (fluently), russian (okay)",english,russian
121,english (fluently),english,
122,"english (fluently), russian (fluently)","english, russian",
123,english (fluently),english,
124,english (fluently),english,
125,english (fluently),english,
126,"english (fluently), lisp (fluently), c++ (fluently)","english, lisp, c++",
127,english (fluently),english,
128,english (fluently),english,
129,"english (fluently), c++ (okay)",english,c++
130,english (fluently),english,
131,english (okay),english,english
132,english (fluently),english,
133,english (fluently),english,
134,"english (fluently), c++ (okay), spanish (okay), lisp (okay)",english,"c++, spanish, lisp"
135,"english (fluently), dutch (okay)",english,dutch
136,english (fluently),english,
137,english (fluently),english,
138,english (fluently),english,
139,english (fluently),english,
140,english (fluently),english,
141,"english (fluently), english (fluently)",english,
142,"english (fluently), english (fluently)",english,
143,english (fluently),english,
144,english (fluently),english,
145,english (fluently),english,
146,english (fluently),english,
147,english (fluently),english,
148,"english (fluently), french (okay)",english,french
149,english (fluently),english,
150,"english (fluently), spanish (okay), german (okay)",english,"spanish, german"
151,english (fluently),english,
152,"english (fluently), other (okay)",english,
153,english (fluently),english,
154,"english (fluently), french (okay)",english,french
155,english (fluently),english,
156,english (fluently),english,
157,"english (fluently), spanish (fluently)","english, spanish",
158,"english (fluently), spanish (fluently)","english, spanish",
159,english (fluently),english,
160,english (fluently),english,
161,"english (fluently), spanish (fluently)","english, spanish",
162,"english (fluently), korean (okay)",english,korean
163,"english (fluently), spanish, persian",english,"spanish, persian"
164,english (fluently),english,
165,"english (fluently), czech",english,czech
166,"english (okay), spanish (fluently)",spanish,english
167,english (fluently),english,
168,english (fluently),english,
169,"english (fluently), spanish (okay)",english,spanish
170,english (fluently),english,
171,english (fluently),english,
172,english (fluently),english,
173,english (fluently),english,
174,"english (fluently), spanish (fluently)","english, spanish",
175,english (fluently),english,
176,"english (fluently), russian",english,russian
177,"english (fluently), croatian (fluently), bengali (okay)","english, croatian",bengali
178,english (fluently),english,
179,"english (fluently), c++ (fluently)","english, c++",
180,english (fluently),english,
181,"english (fluently), spanish (fluently)","english, spanish",
182,"english (fluently), spanish (okay)",english,spanish
183,english (fluently),english,
184,english (fluently),english,
185,"english (fluently), spanish (okay), french (okay)",english,"spanish, french"
186,english (fluently),english,
187,english (fluently),english,
188,english (fluently),english,
189,english (fluently),english,
190,"english (fluently), hindi (okay)",english,hindi
191,"english (fluently), spanish (okay)",english,spanish
192,english (fluently),english,
193,"english (fluently), spanish (okay), japanese (okay)",english,"spanish, japanese"
194,english (fluently),english,
195,english (fluently),english,
196,"english (fluently), italian, french, spanish, russian",english,"italian, french, spanish, russian"
197,english (fluently),english,
198,english (fluently),english,
199,english (fluently),english,
200,english (fluently),english,
201,"english (fluently), vietnamese (fluently), c++ (fluently)","english, vietnamese, c++",
202,english (fluently),english,
203,"english (fluently), french (okay)",english,french
204,"english (fluently), spanish",english,spanish
205,"english (fluently), french (okay), spanish (okay)",english,"french, spanish"
206,"english (fluently), swedish (fluently)","english, swedish",
207,"english (fluently), spanish (fluently), portuguese (okay)","english, spanish",portuguese
208,english (fluently),english,
209,english (fluently),english,
210,"english (fluently), spanish (okay)",english,spanish
211,"english (fluently), c++ (fluently)","english, c++",
212,"english (fluently), vietnamese",english,vietnamese
213,english (fluently),english,
214,english (fluently),english,
215,english (fluently),english,
216,english (fluently),english,
217,english (fluently),english,
218,"english (fluently), spanish (okay)",english,spanish
219,english (fluently),english,
220,english (fluently),english,
221,english (fluently),english,
222,"italian (fluently), spanish (fluently)","italian, spanish",
223,english (fluently),english,
224,english (fluently),english,
225,english (fluently),english,
226,"english (fluently), spanish, portuguese",english,"spanish, portuguese"
227,"english (fluently), spanish (fluently)","english, spanish",
228,english (fluently),english,
229,"english (fluently), spanish",english,spanish
230,other (fluently),english,
231,"english (fluently), spanish (fluently)","english, spanish",
232,english (fluently),english,
233,"english (fluently), french",english,french
234,english (fluently),english,
235,english (fluently),english,
236,english (fluently),english,
237,english (fluently),english,
238,english (fluently),english,
239,english (fluently),english,
240,english (fluently),english,
241,"english (fluently), italian",english,italian
242,english (fluently),english,
243,english (fluently),english,
244,english (fluently),english,
245,english (fluently),english,
246,"english (fluently), german (okay)",english,german
247,english (fluently),english,
248,"english (fluently), spanish",english,spanish
249,english (fluently),english,
250,english (fluently),english,
251,"english (fluently), spanish (okay)",english,spanish
252,"english (fluently), hindi (fluently)","english, hindi",
253,"english (fluently), japanese (okay), french (okay)",english,"japanese, french"
254,english (fluently),english,
255,english (fluently),english,
256,english (fluently),english,
257,english (fluently),english,
258,english (fluently),english,
259,english (fluently),english,
260,"english (fluently), french (okay)",english,french
261,english (fluently),english,
262,"english (fluently), spanish",english,spanish
263,english (fluently),english,
264,english (fluently),english,
265,english (fluently),english,
266,english (fluently),english,
267,english (okay),english,english
268,english (fluently),english,
269,english (fluently),english,
270,"english (fluently), chinese (okay)",english,chinese
271,"english (fluently), spanish (okay)",english,spanish
272,english (fluently),english,
273,english (fluently),english,
274,english (fluently),english,
275,english (fluently),english,
276,english (fluently),english,
277,english (fluently),english,
278,"english (fluently), english (fluently)",english,
279,english (fluently),english,
280,english (fluently),english,
281,english (fluently),english,
282,english (fluently),english,
283,"english (fluently), spanish (okay)",english,spanish
284,english (fluently),english,
285,"english (fluently), spanish (okay)",english,spanish
286,"english (fluently), spanish",english,spanish
287,"english (fluently), french (okay), german (okay)",english,"french, german"
288,english (fluently),english,
289,english (fluently),english,
290,,english,
291,english (fluently),english,
292,english (fluently),english,
293,"english (fluently), chinese",english,chinese
294,english (fluently),english,
295,english (fluently),english,
296,english (fluently),english,
297,"english (fluently), spanish",english,spanish
298,"english (fluently), portuguese (fluently), spanish (okay), french (okay)","english, portuguese","spanish, french"
299,"english (fluently), spanish",english,spanish
300,english (fluently),english,
301,"english (fluently), spanish (okay)",english,spanish
302,"english (fluently), portuguese (fluently), spanish (okay)","english, portuguese",spanish
303,"english (fluently), spanish (okay)",english,spanish
304,"english (fluently), spanish (fluently)","english, spanish",
305,"english (fluently), french (okay)",english,french
306,"english (fluently), english (fluently)",english,
307,english (fluently),english,
308,english (fluently),english,
309,english (fluently),english,
310,english (fluently),english,
311,english (fluently),english,
312,"english (fluently), chinese",english,chinese
313,english (fluently),english,
314,english (fluently),english,
315,"english (fluently), spanish (fluently)","english, spanish",
316,"english (fluently), latin (okay)",english,latin
317,english (fluently),english,
318,english (fluently),english,
319,english (fluently),english,
320,english (fluently),english,
321,"english (fluently), chinese (okay)",english,chinese
322,english (fluently),english,
323,english (fluently),english,
324,english (fluently),english,
325,"english (fluently), french (fluently)","english, french",
326,"english (fluently), french (okay), other (fluently), other (fluently)",english,french
327,english (fluently),english,
328,english (fluently),english,
329,english (fluently),english,
330,english (fluently),english,
331,english (fluently),english,
332,english (fluently),english,
333,"english (fluently), german (fluently), c++ (fluently)","english, german, c++",
334,"english (fluently), japanese (fluently)","english, japanese",
335,"english (fluently), english (fluently)",english,
336,"english (fluently), spanish",english,spanish
337,"english (fluently), spanish (okay)",english,spanish
338,english (fluently),english,
339,"english (fluently), german",english,german
340,english (fluently),english,
341,"english (fluently), czech (fluently), german (okay)","english, czech",german
342,english (fluently),english,
343,"english (fluently), spanish (fluently)","english, spanish",
344,english (fluently),english,
345,english (fluently),english,
346,english (fluently),english,
347,english (fluently),english,
348,english (fluently),english,
349,"english (fluently), sign language (fluently), french (okay), spanish (okay)","english, sign language","french, spanish"
350,"english (fluently), spanish (okay)",english,spanish
351,"english (fluently), german (okay)",english,german
352,"english (fluently), french (okay)",english,french
353,english (fluently),english,
354,"english (fluently), spanish (fluently)","english, spanish",
355,english (fluently),english,
356,english (fluently),english,
357,english (fluently),english,
358,english (fluently),english,
359,english (fluently),english,
360,english (fluently),english,
361,,english,
362,"english (fluently), norwegian (fluently), swedish (okay)","english, norwegian",swedish
363,english (fluently),english,
364,"english (fluently), hebrew",english,hebrew
365,"english (fluently), russian (okay), c++ (okay)",english,"russian, c++"
366,english (fluently),english,
367,english (fluently),english,
368,"english (fluently), spanish (okay)",english,spanish
369,english (fluently),english,
370,english (fluently),english,
371,english (fluently),english,
372,"english (fluently), chinese (okay)",english,chinese
373,english (fluently),english,
374,"english (fluently), c++ (fluently)","english, c++",
375,english (fluently),english,
376,english (fluently),english,
377,english (fluently),english,
378,english (fluently),english,
379,"english (fluently), spanish (okay)",english,spanish
380,english (fluently),english,
381,"english (fluently), spanish",english,spanish
382,english (fluently),english,
383,english (fluently),english,
384,english (fluently),english,
385,english (fluently),english,
386,english (fluently),english,
387,"english (fluently), french (okay)",english,french
388,english (fluently),english,
389,"english (fluently), hebrew",english,hebrew
390,"english (fluently), english (fluently)",english,
391,"english (fluently), german (okay)",english,german
392,english (fluently),english,
393,english (fluently),english,
394,english (fluently),english,
395,english (fluently),english,
396,english (fluently),english,
397,english (fluently),english,
398,"english (fluently), french (fluently), spanish (okay)","english, french",spanish
399,english (fluently),english,
400,english (fluently),english,
401,english (fluently),english,
402,"english (fluently), afrikaans (okay), french (fluently), spanish (fluently)","english, french, spanish",afrikaans
403,"english (fluently), spanish (fluently)","english, spanish",
404,english (fluently),english,
405,english (fluently),english,
406,english (fluently),english,
407,english (fluently),english,
408,"english (fluently), hebrew, spanish",english,"hebrew, spanish"
409,"english (fluently), c++",english,c++
410,english (fluently),english,
411,english (fluently),english,
412,"english (fluently), greek, albanian",english,"greek, albanian"
413,english (fluently),english,
414,english (fluently),english,
415,english (fluently),english,
416,english (fluently),english,
417,english (fluently),english,
418,english (fluently),english,
419,"english (fluently), hebrew (okay), french (okay)",english,"hebrew, french"
420,"english (fluently), spanish (okay)",english,spanish
421,english (fluently),english,
422,"english (fluently), french (fluently), german (okay), spanish (okay)","english, french","german, spanish"
423,english (fluently),english,
424,english (fluently),english,
425,english (fluently),english,
426,"english (fluently), portuguese",english,portuguese
427,english (fluently),english,
428,english (fluently),english,
429,"english (fluently), spanish",english,spanish
430,,english,
431,"english (fluently), spanish (fluently)","english, spanish",
432,"english (fluently), c++ (fluently)","english, c++",
433,"english (fluently), french (okay), icelandic (fluently)","english, icelandic",french
434,english (fluently),english,
435,english (fluently),english,
436,english (fluently),english,
437,"english (fluently), chinese (okay)",english,chinese
438,english (fluently),english,
439,"english (fluently), spanish (okay)",english,spanish
440,english (fluently),english,
441,english (fluently),english,
442,english (fluently),english,
443,"english (fluently), english (fluently), french",english,french
444,english (fluently),english,
445,english (fluently),english,
446,"english (fluently), spanish (okay)",english,spanish
447,english (fluently),english,
448,"english (fluently), arabic",english,arabic
449,"english (fluently), c++ (fluently)","english, c++",
450,english (fluently),english,
451,english (fluently),english,
452,english (fluently),english,
453,english (fluently),english,
454,english (fluently),english,
455,english (fluently),english,
456,english (fluently),english,
457,"english (fluently), hindi (okay)",english,hindi
458,"english (fluently), spanish (fluently), arabic (okay)","english, spanish",arabic
459,english (fluently),english,
460,"english (fluently), tagalog (fluently), spanish (okay)","english, tagalog",spanish
461,english (fluently),english,
462,english (fluently),english,
463,"english (fluently), german (okay)",english,german
464,english (fluently),english,
465,"english (fluently), spanish",english,spanish
466,english (fluently),english,
467,english (fluently),english,
468,english (fluently),english,
469,english (fluently),english,
470,english (fluently),english,
471,english (fluently),english,
472,"english (fluently), french (fluently)","english, french",
473,"english (fluently), spanish (okay)",english,spanish
474,english (fluently),english,
475,english (fluently),english,
476,english (fluently),english,
477,english (fluently),english,
478,english (fluently),english,
479,"english (fluently), french (fluently), spanish (okay), other (fluently)","english, french",spanish
480,"english (fluently), italian (okay)",english,italian
481,english (fluently),english,
482,english (fluently),english,
483,"english (fluently), spanish (okay)",english,spanish
484,english (fluently),english,
485,english (fluently),english,
486,"english (fluently), chinese, japanese",english,"chinese, japanese"
487,english (fluently),english,
488,"english (fluently), spanish (okay)",english,spanish
489,english (fluently),english,
490,english (fluently),english,
491,"english (fluently), spanish (okay)",english,spanish
492,english (fluently),english,
493,english (fluently),english,
494,"english (fluently), french (okay)",english,french
495,"english (fluently), spanish (fluently), french (okay)","english, spanish",french
496,"english (fluently), chinese, tagalog",english,"chinese, tagalog"
497,english (fluently),english,
498,english (fluently),english,
499,english (fluently),english,
500,english (fluently),english,
501,"english (fluently), c++ (fluently), chinese (okay)","english, c++",chinese
502,english (fluently),english,
503,english (fluently),english,
504,english (fluently),english,
505,english (fluently),english,
506,english (fluently),english,
507,"english (fluently), german (fluently)","english, german",
508,english (fluently),english,
509,"english (fluently), spanish",english,spanish
510,,english,
511,english (fluently),english,
512,"english (okay), english (fluently), english (fluently), c++ (fluently)","english, c++",english
513,"english (fluently), chinese (okay)",english,chinese
514,"english (fluently), chinese (okay)",english,chinese
515,english (fluently),english,
516,english (fluently),english,
517,"english (fluently), chinese (okay)",english,chinese
518,english (fluently),english,
519,english (fluently),english,
520,english (fluently),english,
521,english (fluently),english,
522,english (fluently),english,
523,"english (fluently), spanish (fluently)","english, spanish",
524,"english (fluently), spanish (fluently)","english, spanish",
525,"english (fluently), spanish (okay)",english,spanish
526,english (fluently),english,
527,"english (fluently), spanish (okay)",english,spanish
528,english (fluently),english,
529,english (fluently),english,
530,english (fluently),english,
531,"english (fluently), spanish (okay)",english,spanish
532,"english (fluently), italian (fluently)","english, italian",
533,english (fluently),english,
534,"english (fluently), spanish (fluently), french (okay)","english, spanish",french
535,english (fluently),english,
536,english (fluently),english,
537,"english (fluently), spanish (okay), c++ (fluently)","english, c++",spanish
538,english (fluently),english,
539,,english,
540,english (fluently),english,
541,english (fluently),english,
542,english (fluently),english,
543,english (fluently),english,
544,"english (fluently), spanish (fluently)","english, spanish",
545,"english (fluently), french (fluently)","english, french",
546,english (fluently),english,
547,english (fluently),english,
548,english (fluently),english,
549,"english (fluently), korean (okay)",english,korean
550,english (fluently),english,
551,english (fluently),english,
552,english (fluently),english,
553,"english (fluently), french (fluently)","english, french",
554,english (fluently),english,
555,english (fluently),english,
556,english (fluently),english,
557,english (fluently),english,
558,"english (fluently), italian (okay)",english,italian
559,english (fluently),english,
560,english (fluently),english,
561,"english (fluently), spanish (fluently)","english, spanish",
562,,english,
563,"english (fluently), spanish (okay)",english,spanish
564,english (fluently),english,
565,english (fluently),english,
566,english (fluently),english,
567,"english (fluently), french (okay)",english,french
568,"english (fluently), chinese (okay)",english,chinese
569,english (fluently),english,
570,english (fluently),english,
571,english (fluently),english,
572,english (fluently),english,
573,english (fluently),english,
574,english (fluently),english,
575,english (fluently),english,
576,english (fluently),english,
577,english (fluently),english,
578,"english (fluently), farsi (okay), spanish (okay)",english,"farsi, spanish"
579,english (fluently),english,
580,english (okay),english,english
581,english (fluently),english,
582,english (fluently),english,
583,english (fluently),english,
584,"english (okay), tagalog (fluently)",tagalog,english
585,english (fluently),english,
586,"english (fluently), french (okay), c++ (fluently)","english, c++",french
587,english (fluently),english,
588,english (fluently),english,
589,"english (fluently), hindi (okay)",english,hindi
590,english (fluently),english,
591,"english (fluently), spanish (okay)",english,spanish
592,english (fluently),english,
593,"english (fluently), english (fluently)",english,
594,"english (fluently), spanish (okay)",english,spanish
595,english (fluently),english,
596,english (fluently),english,
597,english (fluently),english,
598,"english (fluently), spanish (fluently)","english, spanish",
599,"english (fluently), french (fluently), other (fluently)","english, french",
600,english (fluently),english,
601,english (fluently),english,
602,english (fluently),english,
603,english (fluently),english,
604,english (fluently),english,
605,english (fluently),english,
606,english (fluently),english,
607,"english (fluently), spanish (okay)",english,spanish
608,english (fluently),english,
609,"english (fluently), french (okay)",english,french
610,english (fluently),english,
611,english (fluently),english,
612,english (fluently),english,
613,"english (fluently), russian (fluently), spanish (okay)","english, russian",spanish
614,"english (fluently), portuguese (fluently), french (fluently), spanish (fluently)","english, portuguese, french, spanish",
615,english (fluently),english,
616,english (fluently),english,
617,english (fluently),english,
618,english (fluently),english,
619,english (fluently),english,
620,"english (fluently), chinese, c++",english,"chinese, c++"
621,english (fluently),english,
622,english (fluently),english,
623,english (fluently),english,
624,english (fluently),english,
625,english (fluently),english,
626,english (fluently),english,
627,english (fluently),english,
628,"english (fluently), french",english,french
629,english (fluently),english,
630,"english (fluently), french (okay), spanish (okay)",english,"french, spanish"
631,"english (fluently), sign language (okay)",english,sign language
632,english (fluently),english,
633,english (fluently),english,
634,"english (fluently), spanish (okay)",english,spanish
635,english (fluently),english,
636,english (fluently),english,
637,english (fluently),english,
638,"english (fluently), polish (fluently)","english, polish",
639,english (fluently),english,
640,english (fluently),english,
641,"english (fluently), spanish (okay)",english,spanish
642,english (fluently),english,
643,"english (fluently), tibetan, japanese, afrikaans, cebuano",english,"tibetan, japanese, afrikaans, cebuano"
644,"english (fluently), french (okay)",english,french
645,"english (fluently), spanish (fluently)","english, spanish",
646,english (fluently),english,
647,"english (fluently), german (okay)",english,german
648,"english (fluently), spanish",english,spanish
649,"english (fluently), spanish (okay)",english,spanish
650,english (fluently),english,
651,english (fluently),english,
652,"english (fluently), chinese",english,chinese
653,"english (fluently), french (okay)",english,french
654,english (fluently),english,
655,english (fluently),english,
656,english (fluently),english,
657,"english (fluently), spanish (okay)",english,spanish
658,"english (fluently), japanese (fluently)","english, japanese",
659,"english (fluently), georgian, russian",english,"georgian, russian"
660,english (okay),english,english
661,english (fluently),english,
662,"english (fluently), french (fluently)","english, french",
663,"english (fluently), german (okay)",english,german
664,english (fluently),english,
665,"english (fluently), spanish (okay)",english,spanish
666,english (fluently),english,
667,english (fluently),english,
668,english (fluently),english,
669,"english (fluently), spanish (okay)",english,spanish
670,"english (fluently), c++ (fluently)","english, c++",
671,english (fluently),english,
672,english (fluently),english,
673,"english (fluently), italian (fluently), spanish (fluently)","english, italian, spanish",
674,english (fluently),english,
675,english (fluently),english,
676,english (fluently),english,
677,english (fluently),english,
678,"english (fluently), chinese (fluently), japanese (okay)","english, chinese",japanese
679,"english (fluently), french (okay)",english,french
680,english (fluently),english,
681,"english (fluently), spanish (okay)",english,spanish
682,english (fluently),english,
683,"english (fluently), tagalog (fluently)","english, tagalog",
684,english (fluently),english,
685,english (fluently),english,
686,english (fluently),english,
687,english (fluently),english,
688,"english (fluently), chinese (fluently)","english, chinese",
689,english (okay),english,english
690,english (fluently),english,
691,"english (fluently), russian (okay)",english,russian
692,english (fluently),english,
693,english (fluently),english,
694,english (fluently),english,
695,english (fluently),english,
696,english (fluently),english,
697,"english (fluently), chinese, c++ (fluently), lisp (okay)","english, c++","chinese, lisp"
698,english (fluently),english,
699,english (fluently),english,
700,english (fluently),english,
701,"english (fluently), chinese (fluently), thai (okay), other (fluently)","english, chinese",thai
702,"english (fluently), french, polish, spanish, german",english,"french, polish, spanish, german"
703,english (fluently),english,
704,english (fluently),english,
705,"english (fluently), spanish (okay)",english,spanish
706,"english (fluently), tagalog (okay)",english,tagalog
707,"english (fluently), spanish (okay), french (okay)",english,"spanish, french"
708,"english (fluently), spanish (fluently), french (okay)","english, spanish",french
709,"english (fluently), spanish (okay)",english,spanish
710,english (fluently),english,
711,"english (fluently), tagalog (okay)",english,tagalog
712,english (fluently),english,
713,"english (fluently), french (okay)",english,french
714,english (fluently),english,
715,"english (fluently), japanese (okay)",english,japanese
716,english (okay),english,english
717,english (fluently),english,
718,"english (fluently), spanish",english,spanish
719,english (fluently),english,
720,english (fluently),english,
721,english (fluently),english,
722,"english (fluently), spanish (okay), french (okay)",english,"spanish, french"
723,"english (okay), thai",english,"english, thai"
724,"english (fluently), spanish (fluently)","english, spanish",
725,"english (fluently), spanish (okay)",english,spanish
726,"english (fluently), spanish",english,spanish
727,english (fluently),english,
728,english (fluently),english,
729,english (fluently),english,
730,english (fluently),english,
731,"english (fluently), english (fluently)",english,
732,english (fluently),english,
733,english (fluently),english,
734,english (fluently),english,
735,"english (fluently), spanish (okay)",english,spanish
736,english (fluently),english,
737,"english (okay), italian (fluently)",italian,english
738,"english (fluently), japanese",english,japanese
739,english (fluently),english,
740,english (fluently),english,
741,english (fluently),english,
742,english (fluently),english,
743,"english (fluently), french (fluently)","english, french",
744,english (fluently),english,
745,english (fluently),english,
746,"english (fluently), farsi (fluently)","english, farsi",
747,english (fluently),english,
748,"english (fluently), chinese (okay)",english,chinese
749,"english (fluently), sign language (fluently), spanish (okay)","english, sign language",spanish
750,"english (fluently), spanish (fluently)","english, spanish",
751,english (fluently),english,
752,english (fluently),english,
753,"english (fluently), spanish (fluently), hawaiian (fluently)","english, spanish, hawaiian",
754,english (fluently),english,
755,english (fluently),english,
756,english (fluently),english,
757,english (fluently),english,
758,english (fluently),english,
759,english (fluently),english,
760,english (fluently),english,
761,english (fluently),english,
762,english (fluently),english,
763,english (fluently),english,
764,english (fluently),english,
765,english (fluently),english,
766,english (fluently),english,
767,english (fluently),english,
768,english (fluently),english,
769,"english (fluently), tagalog (okay)",english,tagalog
770,english (fluently),english,
771,english (fluently),english,
772,english (fluently),english,
773,english (fluently),english,
774,english (fluently),english,
775,english (fluently),english,
776,"english (fluently), french (okay), hebrew (okay)",english,"french, hebrew"
777,english (fluently),english,
778,"english (fluently), spanish (okay)",english,spanish
779,"english (fluently), chinese (okay)",english,chinese
780,english (fluently),english,
781,"english (fluently), swedish (fluently)","english, swedish",
782,"english (fluently), spanish (fluently)","english, spanish",
783,"english (fluently), croatian (okay)",english,croatian
784,"english (fluently), italian (fluently)","english, italian",
785,"english (fluently), german (okay)",english,german
786,"english (fluently), spanish (okay)",english,spanish
787,english (fluently),english,
788,"english (fluently), spanish",english,spanish
789,"english (fluently), spanish (okay)",english,spanish
790,english (fluently),english,
791,english (fluently),english,
792,"english (fluently), spanish (okay)",english,spanish
793,"english (fluently), french",english,french
794,english (fluently),english,
795,english (fluently),english,
796,"english (fluently), spanish (okay), portuguese (okay)",english,"spanish, portuguese"
797,english (fluently),english,
798,english (fluently),english,
799,english (fluently),english,
800,english (fluently),english,
801,"english (fluently), french (fluently), spanish (okay), greek (okay)","english, french","spanish, greek"
802,english (fluently),english,
803,english (fluently),english,
804,"english (fluently), arabic (fluently)","english, arabic",
805,"english (fluently), spanish (fluently)","english, spanish",
806,english (fluently),english,
807,english (fluently),english,
808,english (fluently),english,
809,english (fluently),english,
810,english (fluently),english,
811,"english (fluently), japanese (fluently)","english, japanese",
812,"english (fluently), korean (okay)",english,korean
813,"english (fluently), spanish (fluently)","english, spanish",
814,english (fluently),english,
815,english (fluently),english,
816,english (fluently),english,
817,english (fluently),english,
818,english (fluently),english,
819,english (fluently),english,
820,"english (fluently), thai (fluently)","english, thai",
821,english (fluently),english,
822,english (fluently),english,
823,english (fluently),english,
824,english (fluently),english,
825,english (fluently),english,
826,"english (fluently), chinese (okay)",english,chinese
827,"english (fluently), spanish (okay)",english,spanish
828,english (fluently),english,
829,"english (fluently), spanish (okay), french (okay)",english,"spanish, french"
830,"english (fluently), c++ (okay)",english,c++
831,"english (fluently), french (fluently)","english, french",
832,english (fluently),english,
833,"english (fluently), c++ (okay)",english,c++
834,english (fluently),english,
835,english (fluently),english,
836,english (fluently),english,
837,english (fluently),english,
838,english (fluently),english,
839,english (fluently),english,
840,english (fluently),english,
841,"english (fluently), spanish (fluently)","english, spanish",
842,english (fluently),english,
843,"english (fluently), khmer",english,khmer
844,english (fluently),english,
845,english (fluently),english,
846,"english (fluently), other (fluently)",english,
847,english (fluently),english,
848,english (fluently),english,
849,"english (fluently), french (okay)",english,french
850,english (fluently),english,
851,"english (fluently), spanish (okay)",english,spanish
852,"english (fluently), french (okay)",english,french
853,english (fluently),english,
854,english (fluently),english,
855,"english (fluently), russian (fluently)","english, russian",
856,"english (fluently), chinese",english,chinese
857,english (fluently),english,
858,"english (fluently), spanish (okay)",english,spanish
859,english (fluently),english,
860,"english (fluently), spanish (fluently), arabic (fluently), italian (okay), dutch (okay)","english, spanish, arabic","italian, dutch"
861,english (fluently),english,
862,"english (fluently), swedish, spanish, russian",english,"swedish, spanish, russian"
863,"english (fluently), c++ (okay)",english,c++
