index,ethnicity,ethnicity_1,ethnicity_2,ethnicity_3
250,"black, white",mixed,,
251,white,white,,
252,indian,indian,,
253,rather not disclose,rather not disclose,,
254,hispanic / latin,rather not disclose,,
255,white,white,,
256,black,black,,
257,white,white,,
258,"hispanic / latin, white",white,,
259,"asian, black",asian,black,
260,white,white,,
261,hispanic / latin,rather not disclose,,
262,hispanic / latin,rather not disclose,,
263,white,white,,
264,"asian, pacific islander",asian,pacific islander,
265,"middle eastern, white",white,middle eastern,
266,white,white,,
267,white,white,,
268,white,white,,
269,"hispanic / latin, white",white,,
270,asian,asian,,
271,rather not disclose,rather not disclose,,
272,white,white,,
273,white,white,,
274,white,white,,
275,asian,asian,,
276,rather not disclose,rather not disclose,,
277,white,white,,
278,white,white,,
279,rather not disclose,rather not disclose,,
280,black,black,,
281,white,white,,
282,white,white,,
283,white,white,,
284,black,black,,
285,white,white,,
286,"middle eastern, white",white,middle eastern,
287,white,white,,
288,white,white,,
289,hispanic / latin,rather not disclose,,
290,white,white,,
291,other,rather not disclose,,other
292,white,white,,
293,asian,asian,,
294,rather not disclose,rather not disclose,,
295,white,white,,
296,white,white,,
297,white,white,,
298,hispanic / latin,rather not disclose,,
299,hispanic / latin,rather not disclose,,
300,white,white,,
301,white,white,,
302,other,rather not disclose,,other
303,"native american, white, other",white,native american,other
304,hispanic / latin,rather not disclose,,
305,white,white,,
306,black,black,,
307,white,white,,
308,"black, native american, white",black,white,native american
309,white,white,,
310,white,white,,
311,other,rather not disclose,,other
312,asian,asian,,
313,white,white,,
314,white,white,,
315,hispanic / latin,rather not disclose,,
316,white,white,,
317,"black, native american",black,native american,
318,white,white,,
319,white,white,,
320,white,white,,
321,asian,asian,,
322,white,white,,
323,white,white,,
324,"white, other",white,,other
325,rather not disclose,rather not disclose,,
326,rather not disclose,rather not disclose,,
327,white,white,,
328,white,white,,
329,white,white,,
330,hispanic / latin,rather not disclose,,
331,white,white,,
332,white,white,,
333,white,white,,
334,rather not disclose,rather not disclose,,
335,white,white,,
336,rather not disclose,rather not disclose,,
337,white,white,,
338,white,white,,
339,white,white,,
340,white,white,,
341,white,white,,
342,white,white,,
343,hispanic / latin,rather not disclose,,
344,white,white,,
345,"black, white, other",black,white,other
346,white,white,,
347,white,white,,
348,white,white,,
349,white,white,,
350,white,white,,
351,white,white,,
352,"white, other",white,,other
353,white,white,,
354,white,white,,
355,rather not disclose,rather not disclose,,
356,white,white,,
357,white,white,,
358,white,white,,
359,"hispanic / latin, white, other",white,,other
360,rather not disclose,rather not disclose,,
361,white,white,,
362,white,white,,
363,pacific islander,pacific islander,,
364,middle eastern,middle eastern,,
365,white,white,,
366,asian,asian,,
367,white,white,,
368,indian,indian,,
369,white,white,,
370,rather not disclose,rather not disclose,,
371,white,white,,
372,asian,asian,,
373,rather not disclose,rather not disclose,,
374,white,white,,
375,white,white,,
376,white,white,,
377,white,white,,
378,white,white,,
379,hispanic / latin,rather not disclose,,
380,white,white,,
381,white,white,,
382,white,white,,
383,white,white,,
384,white,white,,
385,white,white,,
386,white,white,,
387,rather not disclose,rather not disclose,,
388,"asian, pacific islander",asian,pacific islander,
389,white,white,,
390,white,white,,
391,white,white,,
392,white,white,,
393,white,white,,
394,black,black,,
395,white,white,,
396,white,white,,
397,white,white,,
398,white,white,,
399,rather not disclose,rather not disclose,,
400,white,white,,
401,other,rather not disclose,,other
402,white,white,,
403,hispanic / latin,rather not disclose,,
404,white,white,,
405,white,white,,
406,black,black,,
407,white,white,,
408,"middle eastern, white",white,middle eastern,
409,white,white,,
410,white,white,,
411,"native american, white",white,native american,
412,"native american, white",white,native american,
413,white,white,,
414,white,white,,
415,other,rather not disclose,,other
416,rather not disclose,rather not disclose,,
417,asian,asian,,
418,white,white,,
419,white,white,,
420,white,white,,
421,rather not disclose,rather not disclose,,
422,other,rather not disclose,,other
423,white,white,,
424,asian,asian,,
425,white,white,,
426,rather not disclose,rather not disclose,,
427,white,white,,
428,rather not disclose,rather not disclose,,
429,white,white,,
430,other,rather not disclose,,other
431,"hispanic / latin, white",white,,
432,other,rather not disclose,,other
433,"black, other",black,,other
434,"black, native american, white",black,white,native american
435,hispanic / latin,rather not disclose,,
436,white,white,,
437,asian,asian,,
438,white,white,,
439,black,black,,
440,black,black,,
441,rather not disclose,rather not disclose,,
442,rather not disclose,rather not disclose,,
443,white,white,,
444,white,white,,
445,white,white,,
446,rather not disclose,rather not disclose,,
447,white,white,,
448,middle eastern,middle eastern,,
449,white,white,,
450,white,white,,
451,hispanic / latin,rather not disclose,,
452,white,white,,
453,white,white,,
454,asian,asian,,
455,asian,asian,,
456,rather not disclose,rather not disclose,,
457,indian,indian,,
458,"native american, hispanic / latin, white",white,native american,
459,white,white,,
460,"asian, pacific islander",asian,pacific islander,
461,white,white,,
462,asian,asian,,
463,white,white,,
464,hispanic / latin,rather not disclose,,
465,hispanic / latin,rather not disclose,,
466,rather not disclose,rather not disclose,,
467,white,white,,
468,white,white,,
469,white,white,,
470,pacific islander,pacific islander,,
471,"white, other",white,,other
472,white,white,,
473,asian,asian,,
474,hispanic / latin,rather not disclose,,
475,asian,asian,,
476,white,white,,
477,white,white,,
478,"white, other",white,,other
479,white,white,,
480,"asian, white",asian,white,
481,white,white,,
482,white,white,,
483,"white, other",white,,other
484,rather not disclose,rather not disclose,,
485,"hispanic / latin, white",white,,
486,asian,asian,,
487,rather not disclose,rather not disclose,,
488,white,white,,
489,white,white,,
490,white,white,,
491,white,white,,
492,rather not disclose,rather not disclose,,
493,white,white,,
494,white,white,,
495,"hispanic / latin, other",rather not disclose,,other
496,asian,asian,,
497,asian,asian,,
498,white,white,,
499,rather not disclose,rather not disclose,,
500,white,white,,
501,rather not disclose,rather not disclose,,
502,white,white,,
503,white,white,,
504,white,white,,
505,rather not disclose,rather not disclose,,
506,white,white,,
507,white,white,,
508,white,white,,
509,black,black,,
510,"middle eastern, white",white,middle eastern,
511,other,rather not disclose,,other
512,white,white,,
513,asian,asian,,
514,asian,asian,,
515,white,white,,
516,rather not disclose,rather not disclose,,
517,asian,asian,,
518,white,white,,
519,white,white,,
520,asian,asian,,
521,white,white,,
522,white,white,,
523,white,white,,
524,hispanic / latin,rather not disclose,,
525,white,white,,
526,hispanic / latin,rather not disclose,,
527,"hispanic / latin, other",rather not disclose,,other
528,white,white,,
529,white,white,,
530,white,white,,
531,"hispanic / latin, white",white,,
532,black,black,,
533,asian,asian,,
534,hispanic / latin,rather not disclose,,
535,white,white,,
536,"black, other",black,,other
537,"hispanic / latin, white",white,,
538,white,white,,
539,white,white,,
540,"hispanic / latin, white",white,,
541,rather not disclose,rather not disclose,,
542,"white, other",white,,other
543,white,white,,
544,hispanic / latin,rather not disclose,,
545,white,white,,
546,"hispanic / latin, white",white,,
547,rather not disclose,rather not disclose,,
548,other,rather not disclose,,other
549,asian,asian,,
550,white,white,,
551,white,white,,
552,"native american, white, other",white,native american,other
553,white,white,,
554,white,white,,
555,white,white,,
556,white,white,,
557,white,white,,
558,"black, indian",black,indian,
559,rather not disclose,rather not disclose,,
560,white,white,,
561,"hispanic / latin, other",rather not disclose,,other
562,rather not disclose,rather not disclose,,
563,white,white,,
564,white,white,,
565,hispanic / latin,rather not disclose,,
566,hispanic / latin,rather not disclose,,
567,white,white,,
568,white,white,,
569,other,rather not disclose,,other
570,white,white,,
571,white,white,,
572,white,white,,
573,hispanic / latin,rather not disclose,,
574,hispanic / latin,rather not disclose,,
575,white,white,,
576,white,white,,
577,white,white,,
578,middle eastern,middle eastern,,
579,white,white,,
580,black,black,,
581,white,white,,
582,white,white,,
583,white,white,,
584,asian,asian,,
585,white,white,,
586,white,white,,
587,indian,indian,,
588,indian,indian,,
589,indian,indian,,
590,white,white,,
591,rather not disclose,rather not disclose,,
592,white,white,,
593,white,white,,
594,white,white,,
595,white,white,,
596,white,white,,
597,"indian, white, other",white,indian,other
598,"hispanic / latin, white",white,,
599,indian,indian,,
600,white,white,,
601,white,white,,
602,white,white,,
603,black,black,,
604,rather not disclose,rather not disclose,,
605,white,white,,
606,white,white,,
607,white,white,,
608,rather not disclose,rather not disclose,,
609,white,white,,
610,white,white,,
611,white,white,,
612,"black, white",mixed,,
613,white,white,,
614,white,white,,
615,white,white,,
616,white,white,,
617,white,white,,
618,white,white,,
619,white,white,,
620,rather not disclose,rather not disclose,,
621,white,white,,
622,white,white,,
623,white,white,,
624,other,rather not disclose,,other
625,white,white,,
626,white,white,,
627,white,white,,
628,white,white,,
629,"hispanic / latin, white",white,,
630,white,white,,
631,white,white,,
632,white,white,,
633,hispanic / latin,rather not disclose,,
634,"hispanic / latin, white",white,,
635,white,white,,
636,white,white,,
637,white,white,,
638,white,white,,
639,white,white,,
640,pacific islander,pacific islander,,
641,hispanic / latin,rather not disclose,,
642,white,white,,
643,other,rather not disclose,,other
644,"black, white",mixed,,
645,hispanic / latin,rather not disclose,,
646,hispanic / latin,rather not disclose,,
647,white,white,,
648,hispanic / latin,rather not disclose,,
649,"white, other",white,,other
650,"middle eastern, indian, other",middle eastern,indian,other
651,white,white,,
652,asian,asian,,
653,white,white,,
654,white,white,,
655,white,white,,
656,white,white,,
657,hispanic / latin,rather not disclose,,
658,asian,asian,,
659,white,white,,
660,white,white,,
661,white,white,,
662,white,white,,
663,white,white,,
664,hispanic / latin,rather not disclose,,
665,white,white,,
666,white,white,,
667,white,white,,
668,white,white,,
669,white,white,,
670,white,white,,
671,white,white,,
672,asian,asian,,
673,white,white,,
674,white,white,,
675,white,white,,
676,white,white,,
677,"white, other",white,,other
678,asian,asian,,
679,"hispanic / latin, white",white,,
680,other,rather not disclose,,other
681,rather not disclose,rather not disclose,,
682,white,white,,
683,asian,asian,,
684,white,white,,
685,rather not disclose,rather not disclose,,
686,white,white,,
687,white,white,,
688,asian,asian,,
689,white,white,,
690,white,white,,
691,white,white,,
692,white,white,,
693,white,white,,
694,asian,asian,,
695,rather not disclose,rather not disclose,,
696,white,white,,
697,asian,asian,,
698,pacific islander,pacific islander,,
699,white,white,,
700,"black, white",mixed,,
701,asian,asian,,
702,rather not disclose,rather not disclose,,
703,rather not disclose,rather not disclose,,
704,white,white,,
705,white,white,,
706,black,black,,
707,white,white,,
708,"hispanic / latin, white, other",white,,other
709,"asian, white",asian,white,
710,hispanic / latin,rather not disclose,,
711,"asian, pacific islander",asian,pacific islander,
712,black,black,,
713,white,white,,
714,rather not disclose,rather not disclose,,
715,white,white,,
716,white,white,,
717,white,white,,
718,hispanic / latin,rather not disclose,,
719,white,white,,
720,hispanic / latin,rather not disclose,,
721,white,white,,
722,"black, native american, hispanic / latin, white, other",black,white,native american
723,asian,asian,,
724,hispanic / latin,rather not disclose,,
725,hispanic / latin,rather not disclose,,
726,white,white,,
727,white,white,,
728,rather not disclose,rather not disclose,,
729,white,white,,
730,white,white,,
731,other,rather not disclose,,other
732,white,white,,
733,white,white,,
734,white,white,,
735,rather not disclose,rather not disclose,,
736,black,black,,
737,white,white,,
738,white,white,,
739,"asian, white",asian,white,
740,black,black,,
741,white,white,,
742,white,white,,
743,white,white,,
744,hispanic / latin,rather not disclose,,
745,white,white,,
746,rather not disclose,rather not disclose,,
747,rather not disclose,rather not disclose,,
748,asian,asian,,
749,middle eastern,middle eastern,,
750,"hispanic / latin, white",white,,
751,"asian, white",asian,white,
752,hispanic / latin,rather not disclose,,
753,pacific islander,pacific islander,,
754,white,white,,
755,white,white,,
756,white,white,,
757,white,white,,
758,white,white,,
759,white,white,,
760,black,black,,
761,white,white,,
762,white,white,,
763,"hispanic / latin, white",white,,
764,white,white,,
765,black,black,,
766,rather not disclose,rather not disclose,,
767,white,white,,
768,white,white,,
769,"asian, pacific islander",asian,pacific islander,
770,white,white,,
771,white,white,,
772,white,white,,
773,white,white,,
774,white,white,,
775,white,white,,
776,white,white,,
777,white,white,,
778,"pacific islander, hispanic / latin",pacific islander,,
779,asian,asian,,
780,rather not disclose,rather not disclose,,
781,hispanic / latin,rather not disclose,,
782,hispanic / latin,rather not disclose,,
783,white,white,,
784,white,white,,
785,white,white,,
786,white,white,,
787,white,white,,
788,"black, hispanic / latin, white",black,white,
789,pacific islander,pacific islander,,
790,white,white,,
791,white,white,,
792,hispanic / latin,rather not disclose,,
793,white,white,,
794,white,white,,
795,white,white,,
796,indian,indian,,
797,asian,asian,,
798,black,black,,
799,white,white,,
800,"native american, white",white,native american,
801,rather not disclose,rather not disclose,,
802,white,white,,
803,white,white,,
804,"middle eastern, white",white,middle eastern,
805,hispanic / latin,rather not disclose,,
806,white,white,,
807,white,white,,
808,rather not disclose,rather not disclose,,
809,white,white,,
810,white,white,,
811,"asian, white",asian,white,
812,asian,asian,,
813,hispanic / latin,rather not disclose,,
814,indian,indian,,
815,white,white,,
816,rather not disclose,rather not disclose,,
817,white,white,,
818,white,white,,
819,black,black,,
820,rather not disclose,rather not disclose,,
821,white,white,,
822,white,white,,
823,white,white,,
824,white,white,,
825,white,white,,
826,asian,asian,,
827,"hispanic / latin, white",white,,
828,rather not disclose,rather not disclose,,
829,indian,indian,,
830,white,white,,
831,white,white,,
832,"hispanic / latin, white",white,,
833,asian,asian,,
834,white,white,,
835,indian,indian,,
836,rather not disclose,rather not disclose,,
837,white,white,,
838,rather not disclose,rather not disclose,,
839,white,white,,
840,"native american, white",white,native american,
841,"hispanic / latin, white",white,,
842,white,white,,
843,white,white,,
844,white,white,,
845,white,white,,
846,white,white,,
847,white,white,,
848,white,white,,
849,white,white,,
850,white,white,,
851,"white, other",white,,other
852,white,white,,
853,other,rather not disclose,,other
854,white,white,,
855,white,white,,
856,asian,asian,,
857,white,white,,
858,white,white,,
859,white,white,,
860,"hispanic / latin, white",white,,
861,white,white,,
862,white,white,,
863,white,white,,
864,"hispanic / latin, white",white,,
865,white,white,,
866,"middle eastern, white",white,middle eastern,
867,white,white,,
868,white,white,,
869,white,white,,
870,other,rather not disclose,,other
871,white,white,,
872,white,white,,
873,white,white,,
874,white,white,,
875,black,black,,
876,asian,asian,,
877,white,white,,
878,white,white,,
879,white,white,,
880,other,rather not disclose,,other
881,asian,asian,,
882,native american,native american,,
883,white,white,,
884,white,white,,
885,white,white,,
886,white,white,,
887,white,white,,
888,white,white,,
889,"indian, white",white,indian,
890,white,white,,
891,white,white,,
892,white,white,,
893,white,white,,
894,"asian, middle eastern, black, native american, indian, pacific islander, hispanic / latin, white, other",asian,black,white
895,white,white,,
896,rather not disclose,rather not disclose,,
897,"asian, white",asian,white,
898,rather not disclose,rather not disclose,,
899,white,white,,
900,"asian, black",asian,black,
901,white,white,,
902,white,white,,
903,white,white,,
904,"hispanic / latin, white",white,,
905,white,white,,
906,rather not disclose,rather not disclose,,
907,white,white,,
908,white,white,,
909,"hispanic / latin, white",white,,
910,white,white,,
911,white,white,,
912,white,white,,
913,white,white,,
914,white,white,,
915,white,white,,
916,rather not disclose,rather not disclose,,
917,rather not disclose,rather not disclose,,
918,white,white,,
919,hispanic / latin,rather not disclose,,
920,white,white,,
921,white,white,,
922,hispanic / latin,rather not disclose,,
923,white,white,,
924,white,white,,
925,rather not disclose,rather not disclose,,
926,rather not disclose,rather not disclose,,
927,"asian, white",asian,white,
928,rather not disclose,rather not disclose,,
929,indian,indian,,
930,white,white,,
931,white,white,,
932,rather not disclose,rather not disclose,,
933,rather not disclose,rather not disclose,,
934,"white, other",white,,other
935,white,white,,
936,asian,asian,,
937,white,white,,
938,hispanic / latin,rather not disclose,,
939,white,white,,
940,asian,asian,,
941,white,white,,
942,white,white,,
943,white,white,,
944,rather not disclose,rather not disclose,,
945,white,white,,
946,rather not disclose,rather not disclose,,
947,white,white,,
948,asian,asian,,
949,rather not disclose,rather not disclose,,
950,other,rather not disclose,,other
951,white,white,,
952,asian,asian,,
953,"asian, white",asian,white,
954,white,white,,
955,rather not disclose,rather not disclose,,
956,white,white,,
957,white,white,,
958,rather not disclose,rather not disclose,,
959,middle eastern,middle eastern,,
960,rather not disclose,rather not disclose,,
961,white,white,,
962,white,white,,
963,white,white,,
964,white,white,,
965,asian,asian,,
966,white,white,,
967,white,white,,
968,white,white,,
969,white,white,,
970,white,white,,
971,white,white,,
972,white,white,,
973,rather not disclose,rather not disclose,,
974,white,white,,
975,white,white,,
976,white,white,,
977,white,white,,
978,white,white,,
979,white,white,,
980,white,white,,
981,white,white,,
982,rather not disclose,rather not disclose,,
983,white,white,,
984,white,white,,
985,white,white,,
986,white,white,,
987,"hispanic / latin, white",white,,
988,white,white,,
989,white,white,,
990,black,black,,
991,white,white,,
992,white,white,,
993,white,white,,
994,black,black,,
995,white,white,,
996,white,white,,
997,"middle eastern, white",white,middle eastern,
998,white,white,,
999,white,white,,
1000,white,white,,
1001,white,white,,
1002,"hispanic / latin, white",white,,
1003,white,white,,
1004,"native american, white",white,native american,
1005,asian,asian,,
1006,white,white,,
1007,rather not disclose,rather not disclose,,
1008,white,white,,
1009,white,white,,
1010,white,white,,
1011,white,white,,
1012,asian,asian,,
1013,"black, native american, white",black,white,native american
1014,asian,asian,,
1015,"hispanic / latin, white",white,,
1016,"hispanic / latin, white",white,,
1017,white,white,,
1018,white,white,,
1019,white,white,,
1020,other,rather not disclose,,other
1021,white,white,,
1022,white,white,,
1023,white,white,,
1024,white,white,,
1025,white,white,,
1026,asian,asian,,
1027,white,white,,
1028,white,white,,
1029,white,white,,
1030,rather not disclose,rather not disclose,,
1031,indian,indian,,
1032,"asian, white, other",asian,white,other
1033,white,white,,
1034,rather not disclose,rather not disclose,,
1035,white,white,,
1036,"white, other",white,,other
1037,white,white,,
1038,white,white,,
1039,"middle eastern, white",white,middle eastern,
1040,"hispanic / latin, white",white,,
1041,asian,asian,,
1042,rather not disclose,rather not disclose,,
1043,white,white,,
1044,"hispanic / latin, white",white,,
1045,white,white,,
1046,rather not disclose,rather not disclose,,
1047,asian,asian,,
1048,"white, other",white,,other
1049,white,white,,
1050,white,white,,
1051,asian,asian,,
1052,white,white,,
1053,white,white,,
1054,white,white,,
1055,white,white,,
1056,"hispanic / latin, white",white,,
1057,"hispanic / latin, white",white,,
1058,white,white,,
1059,rather not disclose,rather not disclose,,
1060,rather not disclose,rather not disclose,,
1061,white,white,,
1062,white,white,,
1063,white,white,,
1064,white,white,,
1065,white,white,,
1066,asian,asian,,
1067,white,white,,
1068,white,white,,
1069,white,white,,
1070,white,white,,
1071,asian,asian,,
1072,white,white,,
1073,rather not disclose,rather not disclose,,
1074,white,white,,
1075,white,white,,
1076,asian,asian,,
1077,white,white,,
1078,white,white,,
1079,white,white,,
1080,rather not disclose,rather not disclose,,
1081,white,white,,
1082,white,white,,
1083,"middle eastern, white",white,middle eastern,
1084,white,white,,
1085,rather not disclose,rather not disclose,,
1086,"native american, white",white,native american,
1087,"hispanic / latin, white",white,,
1088,"white, other",white,,other
1089,asian,asian,,
1090,rather not disclose,rather not disclose,,
1091,rather not disclose,rather not disclose,,
1092,"asian, white",asian,white,
1093,asian,asian,,
1094,white,white,,
1095,white,white,,
1096,hispanic / latin,rather not disclose,,
1097,white,white,,
1098,rather not disclose,rather not disclose,,
1099,other,rather not disclose,,other
1100,white,white,,
1101,white,white,,
1102,other,rather not disclose,,other
1103,rather not disclose,rather not disclose,,
1104,rather not disclose,rather not disclose,,
1105,"black, hispanic / latin",black,,
1106,white,white,,
1107,asian,asian,,
1108,other,rather not disclose,,other
1109,"asian, white",asian,white,
1110,white,white,,
1111,asian,asian,,
1112,rather not disclose,rather not disclose,,
1113,white,white,,
1114,white,white,,
1115,indian,indian,,
1116,white,white,,
1117,"asian, hispanic / latin, white",asian,white,
1118,white,white,,
1119,white,white,,
1120,white,white,,
1121,white,white,,
1122,white,white,,
1123,"indian, white",white,indian,
1124,rather not disclose,rather not disclose,,
1125,rather not disclose,rather not disclose,,
1126,rather not disclose,rather not disclose,,
1127,white,white,,
1128,white,white,,
1129,white,white,,
1130,"black, native american, white",black,white,native american
1131,middle eastern,middle eastern,,
1132,white,white,,
1133,white,white,,
1134,hispanic / latin,rather not disclose,,
1135,white,white,,
1136,white,white,,
1137,"hispanic / latin, white",white,,
1138,white,white,,
1139,white,white,,
1140,white,white,,
1141,white,white,,
1142,asian,asian,,
1143,"middle eastern, hispanic / latin",middle eastern,,
1144,white,white,,
1145,white,white,,
1146,asian,asian,,
1147,white,white,,
1148,"hispanic / latin, white, other",white,,other
1149,asian,asian,,
1150,white,white,,
1151,white,white,,
1152,hispanic / latin,rather not disclose,,
1153,"hispanic / latin, white",white,,
1154,white,white,,
1155,white,white,,
1156,white,white,,
1157,white,white,,
1158,white,white,,
1159,white,white,,
1160,"hispanic / latin, other",rather not disclose,,other
1161,white,white,,
1162,native american,native american,,
1163,asian,asian,,
1164,white,white,,
1165,white,white,,
1166,other,rather not disclose,,other
1167,black,black,,
1168,rather not disclose,rather not disclose,,
1169,hispanic / latin,rather not disclose,,
1170,indian,indian,,
1171,hispanic / latin,rather not disclose,,
1172,asian,asian,,
1173,white,white,,
1174,"asian, black, native american, pacific islander, white",asian,black,white
1175,rather not disclose,rather not disclose,,
1176,white,white,,
1177,white,white,,
1178,"middle eastern, white",white,middle eastern,
1179,asian,asian,,
1180,"black, other",black,,other
1181,white,white,,
1182,other,rather not disclose,,other
1183,white,white,,
1184,white,white,,
1185,white,white,,
1186,white,white,,
1187,"black, hispanic / latin",black,,
1188,rather not disclose,rather not disclose,,
1189,"hispanic / latin, other",rather not disclose,,other
1190,indian,indian,,
1191,indian,indian,,
1192,white,white,,
1193,white,white,,
1194,white,white,,
1195,white,white,,
1196,white,white,,
1197,white,white,,
1198,white,white,,
1199,asian,asian,,
1200,white,white,,
1201,white,white,,
1202,white,white,,
1203,white,white,,
1204,white,white,,
1205,white,white,,
1206,white,white,,
1207,"indian, white",white,indian,
1208,white,white,,
1209,white,white,,
1210,white,white,,
1211,white,white,,
1212,white,white,,
1213,white,white,,
1214,asian,asian,,
1215,white,white,,
1216,white,white,,
1217,white,white,,
1218,"white, other",white,,other
1219,white,white,,
1220,white,white,,
1221,hispanic / latin,rather not disclose,,
1222,white,white,,
1223,"hispanic / latin, white",white,,
1224,other,rather not disclose,,other
1225,asian,asian,,
1226,white,white,,
