index,religion,religion_name,seriousness
113,other,other,no importance
114,agnosticism,agnosticism,no importance
115,atheism and laughing about it,atheism,laughing
116,rather not disclose,rather not disclose,no importance
117,other but not too serious about it,other,no importance
118,other and somewhat serious about it,other,no importance
119,rather not disclose,rather not disclose,no importance
120,atheism and somewhat serious about it,atheism,somewhat serious
121,christianity and somewhat serious about it,christianity,somewhat serious
122,rather not disclose,rather not disclose,no importance
123,atheism and laughing about it,atheism,laughing
124,other but not too serious about it,other,no importance
125,agnosticism but not too serious about it,agnosticism,not too serious
126,rather not disclose,rather not disclose,no importance
127,agnosticism but not too serious about it,agnosticism,not too serious
128,atheism and laughing about it,atheism,laughing
129,atheism,atheism,no importance
130,agnosticism,agnosticism,no importance
131,other,other,no importance
132,rather not disclose,rather not disclose,no importance
133,rather not disclose,rather not disclose,no importance
134,atheism and somewhat serious about it,atheism,somewhat serious
135,rather not disclose,rather not disclose,no importance
136,atheism,atheism,no importance
137,other,other,no importance
138,rather not disclose,rather not disclose,no importance
139,rather not disclose,rather not disclose,no importance
140,buddhism,buddhism,no importance
141,other,other,no importance
142,other and somewhat serious about it,other,no importance
143,agnosticism and somewhat serious about it,agnosticism,somewhat serious
144,rather not disclose,rather not disclose,no importance
145,catholicism but not too serious about it,catholicism,not too serious
146,atheism,atheism,no importance
147,rather not disclose,rather not disclose,no importance
148,judaism but not too serious about it,judaism,not too serious
149,rather not disclose,rather not disclose,no importance
150,atheism,atheism,no importance
151,catholicism and laughing about it,catholicism,laughing
152,rather not disclose,rather not disclose,no importance
153,rather not disclose,rather not disclose,no importance
154,rather not disclose,rather not disclose,no importance
155,agnosticism,agnosticism,no importance
156,christianity and very serious about it,christianity,very serious
157,agnosticism and somewhat serious about it,agnosticism,somewhat serious
158,other,other,no importance
159,christianity,christianity,no importance
160,christianity,christianity,no importance
161,rather not disclose,rather not disclose,no importance
162,rather not disclose,rather not disclose,no importance
163,rather not disclose,rather not disclose,no importance
164,atheism,atheism,no importance
165,rather not disclose,rather not disclose,no importance
166,rather not disclose,rather not disclose,no importance
167,catholicism and laughing about it,catholicism,laughing
168,agnosticism and laughing about it,agnosticism,laughing
169,other and laughing about it,other,no importance
170,rather not disclose,rather not disclose,no importance
171,other,other,no importance
172,christianity,christianity,no importance
173,atheism,atheism,no importance
174,other,other,no importance
175,rather not disclose,rather not disclose,no importance
176,judaism but not too serious about it,judaism,not too serious
177,hinduism and very serious about it,hinduism,very serious
178,rather not disclose,rather not disclose,no importance
179,atheism and very serious about it,atheism,very serious
180,atheism but not too serious about it,atheism,not too serious
181,catholicism but not too serious about it,catholicism,not too serious
182,agnosticism and laughing about it,agnosticism,laughing
183,other,other,no importance
184,rather not disclose,rather not disclose,no importance
185,judaism,judaism,no importance
186,judaism but not too serious about it,judaism,not too serious
187,other,other,no importance
188,agnosticism and laughing about it,agnosticism,laughing
189,agnosticism and somewhat serious about it,agnosticism,somewhat serious
190,agnosticism but not too serious about it,agnosticism,not too serious
191,catholicism,catholicism,no importance
192,agnosticism and laughing about it,agnosticism,laughing
193,agnosticism,agnosticism,no importance
194,rather not disclose,rather not disclose,no importance
195,catholicism and somewhat serious about it,catholicism,somewhat serious
196,other,other,no importance
197,judaism,judaism,no importance
198,catholicism and somewhat serious about it,catholicism,somewhat serious
199,rather not disclose,rather not disclose,no importance
200,catholicism,catholicism,no importance
201,other but not too serious about it,other,no importance
202,rather not disclose,rather not disclose,no importance
203,agnosticism and very serious about it,agnosticism,very serious
204,catholicism,catholicism,no importance
205,judaism but not too serious about it,judaism,not too serious
206,judaism and laughing about it,judaism,laughing
207,catholicism but not too serious about it,catholicism,not too serious
208,christianity but not too serious about it,christianity,not too serious
209,agnosticism,agnosticism,no importance
210,judaism,judaism,no importance
211,atheism,atheism,no importance
212,rather not disclose,rather not disclose,no importance
213,judaism but not too serious about it,judaism,not too serious
214,other,other,no importance
215,christianity and somewhat serious about it,christianity,somewhat serious
216,christianity and laughing about it,christianity,laughing
217,hinduism but not too serious about it,hinduism,not too serious
218,rather not disclose,rather not disclose,no importance
219,rather not disclose,rather not disclose,no importance
220,rather not disclose,rather not disclose,no importance
221,agnosticism but not too serious about it,agnosticism,not too serious
222,rather not disclose,rather not disclose,no importance
223,christianity and somewhat serious about it,christianity,somewhat serious
224,rather not disclose,rather not disclose,no importance
225,christianity but not too serious about it,christianity,not too serious
226,rather not disclose,rather not disclose,no importance
227,other,other,no importance
228,agnosticism and laughing about it,agnosticism,laughing
229,judaism but not too serious about it,judaism,not too serious
230,atheism,atheism,no importance
231,christianity,christianity,no importance
232,rather not disclose,rather not disclose,no importance
233,christianity and laughing about it,christianity,laughing
234,catholicism and laughing about it,catholicism,laughing
235,rather not disclose,rather not disclose,no importance
236,buddhism but not too serious about it,buddhism,not too serious
237,christianity,christianity,no importance
238,rather not disclose,rather not disclose,no importance
239,judaism but not too serious about it,judaism,not too serious
240,christianity but not too serious about it,christianity,not too serious
241,rather not disclose,rather not disclose,no importance
242,christianity and somewhat serious about it,christianity,somewhat serious
243,atheism,atheism,no importance
244,other and very serious about it,other,no importance
245,christianity and very serious about it,christianity,very serious
246,rather not disclose,rather not disclose,no importance
247,atheism,atheism,no importance
248,catholicism,catholicism,no importance
249,agnosticism but not too serious about it,agnosticism,not too serious
250,rather not disclose,rather not disclose,no importance
251,other and laughing about it,other,no importance
252,hinduism and laughing about it,hinduism,laughing
253,rather not disclose,rather not disclose,no importance
254,christianity,christianity,no importance
255,christianity and laughing about it,christianity,laughing
256,rather not disclose,rather not disclose,no importance
257,rather not disclose,rather not disclose,no importance
258,christianity,christianity,no importance
259,rather not disclose,rather not disclose,no importance
260,rather not disclose,rather not disclose,no importance
261,rather not disclose,rather not disclose,no importance
262,catholicism but not too serious about it,catholicism,not too serious
263,catholicism but not too serious about it,catholicism,not too serious
264,atheism and laughing about it,atheism,laughing
265,christianity but not too serious about it,christianity,not too serious
266,christianity and very serious about it,christianity,very serious
267,other and somewhat serious about it,other,no importance
268,rather not disclose,rather not disclose,no importance
269,atheism,atheism,no importance
270,rather not disclose,rather not disclose,no importance
271,rather not disclose,rather not disclose,no importance
272,judaism and laughing about it,judaism,laughing
273,catholicism,catholicism,no importance
274,atheism,atheism,no importance
275,atheism and laughing about it,atheism,laughing
276,rather not disclose,rather not disclose,no importance
277,atheism and laughing about it,atheism,laughing
278,buddhism but not too serious about it,buddhism,not too serious
279,rather not disclose,rather not disclose,no importance
280,other and very serious about it,other,no importance
281,other,other,no importance
282,rather not disclose,rather not disclose,no importance
283,christianity but not too serious about it,christianity,not too serious
284,christianity,christianity,no importance
285,other and very serious about it,other,no importance
286,other,other,no importance
287,buddhism and somewhat serious about it,buddhism,somewhat serious
288,rather not disclose,rather not disclose,no importance
289,rather not disclose,rather not disclose,no importance
290,atheism and somewhat serious about it,atheism,somewhat serious
291,rather not disclose,rather not disclose,no importance
292,catholicism and laughing about it,catholicism,laughing
293,rather not disclose,rather not disclose,no importance
294,rather not disclose,rather not disclose,no importance
295,rather not disclose,rather not disclose,no importance
296,christianity but not too serious about it,christianity,not too serious
297,rather not disclose,rather not disclose,no importance
298,agnosticism,agnosticism,no importance
299,rather not disclose,rather not disclose,no importance
300,agnosticism but not too serious about it,agnosticism,not too serious
301,rather not disclose,rather not disclose,no importance
302,agnosticism and laughing about it,agnosticism,laughing
303,rather not disclose,rather not disclose,no importance
304,catholicism but not too serious about it,catholicism,not too serious
305,buddhism and laughing about it,buddhism,laughing
306,christianity and somewhat serious about it,christianity,somewhat serious
307,rather not disclose,rather not disclose,no importance
308,other,other,no importance
309,rather not disclose,rather not disclose,no importance
310,christianity but not too serious about it,christianity,not too serious
311,rather not disclose,rather not disclose,no importance
312,buddhism,buddhism,no importance
313,other,other,no importance
314,judaism but not too serious about it,judaism,not too serious
315,catholicism but not too serious about it,catholicism,not too serious
316,rather not disclose,rather not disclose,no importance
317,atheism,atheism,no importance
318,rather not disclose,rather not disclose,no importance
319,other,other,no importance
320,rather not disclose,rather not disclose,no importance
321,rather not disclose,rather not disclose,no importance
322,atheism and very serious about it,atheism,very serious
323,other,other,no importance
324,other,other,no importance
325,rather not disclose,rather not disclose,no importance
326,rather not disclose,rather not disclose,no importance
327,agnosticism but not too serious about it,agnosticism,not too serious
328,judaism but not too serious about it,judaism,not too serious
329,other and laughing about it,other,no importance
330,catholicism,catholicism,no importance
331,judaism and laughing about it,judaism,laughing
332,rather not disclose,rather not disclose,no importance
333,christianity and very serious about it,christianity,very serious
334,agnosticism but not too serious about it,agnosticism,not too serious
335,atheism but not too serious about it,atheism,not too serious
336,catholicism,catholicism,no importance
337,catholicism but not too serious about it,catholicism,not too serious
338,agnosticism and somewhat serious about it,agnosticism,somewhat serious
339,other and laughing about it,other,no importance
340,other and laughing about it,other,no importance
341,rather not disclose,rather not disclose,no importance
342,atheism but not too serious about it,atheism,not too serious
343,christianity but not too serious about it,christianity,not too serious
344,agnosticism but not too serious about it,agnosticism,not too serious
345,agnosticism and somewhat serious about it,agnosticism,somewhat serious
346,rather not disclose,rather not disclose,no importance
347,atheism and laughing about it,atheism,laughing
348,rather not disclose,rather not disclose,no importance
349,buddhism and laughing about it,buddhism,laughing
350,islam and very serious about it,islam,very serious
351,agnosticism,agnosticism,no importance
352,agnosticism and somewhat serious about it,agnosticism,somewhat serious
353,catholicism but not too serious about it,catholicism,not too serious
354,atheism,atheism,no importance
355,rather not disclose,rather not disclose,no importance
356,buddhism and laughing about it,buddhism,laughing
357,rather not disclose,rather not disclose,no importance
358,other and laughing about it,other,no importance
359,rather not disclose,rather not disclose,no importance
360,rather not disclose,rather not disclose,no importance
361,other and laughing about it,other,no importance
362,atheism,atheism,no importance
363,rather not disclose,rather not disclose,no importance
364,judaism,judaism,no importance
365,rather not disclose,rather not disclose,no importance
366,rather not disclose,rather not disclose,no importance
367,atheism,atheism,no importance
368,rather not disclose,rather not disclose,no importance
369,rather not disclose,rather not disclose,no importance
370,agnosticism,agnosticism,no importance
371,rather not disclose,rather not disclose,no importance
372,atheism and laughing about it,atheism,laughing
373,rather not disclose,rather not disclose,no importance
374,agnosticism and laughing about it,agnosticism,laughing
375,other but not too serious about it,other,no importance
376,agnosticism,agnosticism,no importance
377,rather not disclose,rather not disclose,no importance
378,christianity but not too serious about it,christianity,not too serious
379,rather not disclose,rather not disclose,no importance
380,rather not disclose,rather not disclose,no importance
381,rather not disclose,rather not disclose,no importance
382,atheism,atheism,no importance
383,rather not disclose,rather not disclose,no importance
384,atheism,atheism,no importance
385,atheism,atheism,no importance
386,rather not disclose,rather not disclose,no importance
387,agnosticism but not too serious about it,agnosticism,not too serious
388,christianity but not too serious about it,christianity,not too serious
389,judaism and laughing about it,judaism,laughing
390,christianity and somewhat serious about it,christianity,somewhat serious
391,christianity and somewhat serious about it,christianity,somewhat serious
392,catholicism but not too serious about it,catholicism,not too serious
393,agnosticism,agnosticism,no importance
394,rather not disclose,rather not disclose,no importance
395,other,other,no importance
396,other but not too serious about it,other,no importance
397,other,other,no importance
398,agnosticism,agnosticism,no importance
399,rather not disclose,rather not disclose,no importance
400,rather not disclose,rather not disclose,no importance
401,other,other,no importance
402,other and laughing about it,other,no importance
403,catholicism but not too serious about it,catholicism,not too serious
404,other and somewhat serious about it,other,no importance
405,buddhism but not too serious about it,buddhism,not too serious
406,rather not disclose,rather not disclose,no importance
407,rather not disclose,rather not disclose,no importance
408,judaism and laughing about it,judaism,laughing
409,rather not disclose,rather not disclose,no importance
410,rather not disclose,rather not disclose,no importance
411,catholicism but not too serious about it,catholicism,not too serious
412,rather not disclose,rather not disclose,no importance
413,agnosticism but not too serious about it,agnosticism,not too serious
414,other but not too serious about it,other,no importance
415,christianity,christianity,no importance
416,rather not disclose,rather not disclose,no importance
417,christianity but not too serious about it,christianity,not too serious
418,catholicism but not too serious about it,catholicism,not too serious
419,judaism,judaism,no importance
420,agnosticism but not too serious about it,agnosticism,not too serious
421,agnosticism and somewhat serious about it,agnosticism,somewhat serious
422,agnosticism,agnosticism,no importance
423,buddhism and laughing about it,buddhism,laughing
424,agnosticism and somewhat serious about it,agnosticism,somewhat serious
425,agnosticism,agnosticism,no importance
426,rather not disclose,rather not disclose,no importance
427,agnosticism and laughing about it,agnosticism,laughing
428,rather not disclose,rather not disclose,no importance
429,rather not disclose,rather not disclose,no importance
430,rather not disclose,rather not disclose,no importance
431,atheism but not too serious about it,atheism,not too serious
432,christianity and very serious about it,christianity,very serious
433,rather not disclose,rather not disclose,no importance
434,christianity and very serious about it,christianity,very serious
435,catholicism,catholicism,no importance
436,catholicism and laughing about it,catholicism,laughing
437,other and very serious about it,other,no importance
438,rather not disclose,rather not disclose,no importance
439,rather not disclose,rather not disclose,no importance
440,rather not disclose,rather not disclose,no importance
441,rather not disclose,rather not disclose,no importance
442,catholicism but not too serious about it,catholicism,not too serious
443,other and somewhat serious about it,other,no importance
444,rather not disclose,rather not disclose,no importance
445,catholicism and laughing about it,catholicism,laughing
446,rather not disclose,rather not disclose,no importance
447,rather not disclose,rather not disclose,no importance
448,islam,islam,no importance
449,buddhism and somewhat serious about it,buddhism,somewhat serious
450,agnosticism but not too serious about it,agnosticism,not too serious
451,catholicism,catholicism,no importance
452,agnosticism but not too serious about it,agnosticism,not too serious
453,christianity and laughing about it,christianity,laughing
454,rather not disclose,rather not disclose,no importance
455,buddhism but not too serious about it,buddhism,not too serious
456,rather not disclose,rather not disclose,no importance
457,hinduism but not too serious about it,hinduism,not too serious
458,other and somewhat serious about it,other,no importance
459,buddhism and somewhat serious about it,buddhism,somewhat serious
460,catholicism and somewhat serious about it,catholicism,somewhat serious
461,rather not disclose,rather not disclose,no importance
462,agnosticism,agnosticism,no importance
463,agnosticism but not too serious about it,agnosticism,not too serious
464,christianity,christianity,no importance
465,rather not disclose,rather not disclose,no importance
466,catholicism but not too serious about it,catholicism,not too serious
467,agnosticism and very serious about it,agnosticism,very serious
468,catholicism but not too serious about it,catholicism,not too serious
469,christianity but not too serious about it,christianity,not too serious
470,other,other,no importance
471,other and laughing about it,other,no importance
472,other and laughing about it,other,no importance
473,christianity but not too serious about it,christianity,not too serious
474,rather not disclose,rather not disclose,no importance
475,christianity but not too serious about it,christianity,not too serious
476,agnosticism and laughing about it,agnosticism,laughing
477,rather not disclose,rather not disclose,no importance
478,agnosticism,agnosticism,no importance
479,rather not disclose,rather not disclose,no importance
480,rather not disclose,rather not disclose,no importance
481,atheism,atheism,no importance
482,rather not disclose,rather not disclose,no importance
483,agnosticism and laughing about it,agnosticism,laughing
484,rather not disclose,rather not disclose,no importance
485,atheism and laughing about it,atheism,laughing
486,buddhism and somewhat serious about it,buddhism,somewhat serious
487,rather not disclose,rather not disclose,no importance
488,rather not disclose,rather not disclose,no importance
489,atheism and laughing about it,atheism,laughing
490,other and somewhat serious about it,other,no importance
491,other but not too serious about it,other,no importance
492,rather not disclose,rather not disclose,no importance
493,judaism but not too serious about it,judaism,not too serious
494,judaism but not too serious about it,judaism,not too serious
495,agnosticism and laughing about it,agnosticism,laughing
496,other but not too serious about it,other,no importance
497,rather not disclose,rather not disclose,no importance
498,rather not disclose,rather not disclose,no importance
499,rather not disclose,rather not disclose,no importance
500,rather not disclose,rather not disclose,no importance
501,agnosticism and laughing about it,agnosticism,laughing
502,agnosticism,agnosticism,no importance
503,rather not disclose,rather not disclose,no importance
504,other but not too serious about it,other,no importance
505,rather not disclose,rather not disclose,no importance
506,catholicism,catholicism,no importance
507,atheism but not too serious about it,atheism,not too serious
508,christianity and laughing about it,christianity,laughing
509,christianity,christianity,no importance
510,buddhism and laughing about it,buddhism,laughing
511,other and laughing about it,other,no importance
512,atheism but not too serious about it,atheism,not too serious
513,agnosticism but not too serious about it,agnosticism,not too serious
514,rather not disclose,rather not disclose,no importance
515,buddhism and laughing about it,buddhism,laughing
516,rather not disclose,rather not disclose,no importance
517,christianity but not too serious about it,christianity,not too serious
518,buddhism but not too serious about it,buddhism,not too serious
519,other and laughing about it,other,no importance
520,rather not disclose,rather not disclose,no importance
521,rather not disclose,rather not disclose,no importance
522,rather not disclose,rather not disclose,no importance
523,agnosticism but not too serious about it,agnosticism,not too serious
524,rather not disclose,rather not disclose,no importance
525,agnosticism but not too serious about it,agnosticism,not too serious
526,other and laughing about it,other,no importance
527,rather not disclose,rather not disclose,no importance
528,rather not disclose,rather not disclose,no importance
529,rather not disclose,rather not disclose,no importance
530,other but not too serious about it,other,no importance
531,christianity,christianity,no importance
532,christianity and somewhat serious about it,christianity,somewhat serious
533,other and laughing about it,other,no importance
534,christianity but not too serious about it,christianity,not too serious
535,buddhism but not too serious about it,buddhism,not too serious
536,rather not disclose,rather not disclose,no importance
537,atheism,atheism,no importance
538,rather not disclose,rather not disclose,no importance
539,atheism and laughing about it,atheism,laughing
540,rather not disclose,rather not disclose,no importance
541,rather not disclose,rather not disclose,no importance
542,agnosticism and very serious about it,agnosticism,very serious
543,rather not disclose,rather not disclose,no importance
544,rather not disclose,rather not disclose,no importance
545,agnosticism and laughing about it,agnosticism,laughing
546,buddhism but not too serious about it,buddhism,not too serious
547,rather not disclose,rather not disclose,no importance
548,other,other,no importance
549,rather not disclose,rather not disclose,no importance
550,rather not disclose,rather not disclose,no importance
551,rather not disclose,rather not disclose,no importance
552,other and very serious about it,other,no importance
553,rather not disclose,rather not disclose,no importance
554,rather not disclose,rather not disclose,no importance
555,rather not disclose,rather not disclose,no importance
556,rather not disclose,rather not disclose,no importance
557,christianity and somewhat serious about it,christianity,somewhat serious
558,christianity and laughing about it,christianity,laughing
559,rather not disclose,rather not disclose,no importance
560,atheism and somewhat serious about it,atheism,somewhat serious
561,other,other,no importance
562,atheism,atheism,no importance
563,rather not disclose,rather not disclose,no importance
564,atheism and somewhat serious about it,atheism,somewhat serious
565,other,other,no importance
566,rather not disclose,rather not disclose,no importance
567,rather not disclose,rather not disclose,no importance
568,other,other,no importance
569,christianity,christianity,no importance
570,catholicism,catholicism,no importance
571,christianity,christianity,no importance
572,christianity but not too serious about it,christianity,not too serious
573,christianity,christianity,no importance
574,catholicism but not too serious about it,catholicism,not too serious
575,catholicism but not too serious about it,catholicism,not too serious
576,catholicism but not too serious about it,catholicism,not too serious
577,hinduism,hinduism,no importance
578,rather not disclose,rather not disclose,no importance
579,christianity and somewhat serious about it,christianity,somewhat serious
580,christianity and very serious about it,christianity,very serious
581,rather not disclose,rather not disclose,no importance
582,rather not disclose,rather not disclose,no importance
583,rather not disclose,rather not disclose,no importance
584,christianity,christianity,no importance
585,christianity but not too serious about it,christianity,not too serious
586,atheism but not too serious about it,atheism,not too serious
587,hinduism but not too serious about it,hinduism,not too serious
588,rather not disclose,rather not disclose,no importance
589,other and somewhat serious about it,other,no importance
590,other and laughing about it,other,no importance
591,other and laughing about it,other,no importance
592,atheism,atheism,no importance
593,judaism and laughing about it,judaism,laughing
594,judaism and laughing about it,judaism,laughing
595,judaism,judaism,no importance
596,rather not disclose,rather not disclose,no importance
597,other but not too serious about it,other,no importance
598,catholicism but not too serious about it,catholicism,not too serious
599,rather not disclose,rather not disclose,no importance
600,other and somewhat serious about it,other,no importance
601,rather not disclose,rather not disclose,no importance
602,catholicism but not too serious about it,catholicism,not too serious
603,catholicism but not too serious about it,catholicism,not too serious
604,agnosticism and laughing about it,agnosticism,laughing
605,agnosticism,agnosticism,no importance
606,rather not disclose,rather not disclose,no importance
607,rather not disclose,rather not disclose,no importance
608,rather not disclose,rather not disclose,no importance
609,catholicism and somewhat serious about it,catholicism,somewhat serious
610,judaism but not too serious about it,judaism,not too serious
611,judaism and laughing about it,judaism,laughing
612,atheism and laughing about it,atheism,laughing
613,judaism but not too serious about it,judaism,not too serious
614,catholicism but not too serious about it,catholicism,not too serious
615,christianity and somewhat serious about it,christianity,somewhat serious
616,agnosticism and very serious about it,agnosticism,very serious
617,catholicism,catholicism,no importance
618,agnosticism,agnosticism,no importance
619,rather not disclose,rather not disclose,no importance
620,christianity,christianity,no importance
621,other and laughing about it,other,no importance
622,agnosticism and laughing about it,agnosticism,laughing
623,christianity but not too serious about it,christianity,not too serious
624,other and laughing about it,other,no importance
625,judaism but not too serious about it,judaism,not too serious
626,catholicism but not too serious about it,catholicism,not too serious
627,buddhism and laughing about it,buddhism,laughing
628,atheism and laughing about it,atheism,laughing
629,rather not disclose,rather not disclose,no importance
630,rather not disclose,rather not disclose,no importance
631,rather not disclose,rather not disclose,no importance
632,other and laughing about it,other,no importance
633,rather not disclose,rather not disclose,no importance
634,agnosticism and somewhat serious about it,agnosticism,somewhat serious
635,rather not disclose,rather not disclose,no importance
636,buddhism and somewhat serious about it,buddhism,somewhat serious
637,judaism but not too serious about it,judaism,not too serious
638,rather not disclose,rather not disclose,no importance
639,catholicism but not too serious about it,catholicism,not too serious
640,catholicism and laughing about it,catholicism,laughing
641,rather not disclose,rather not disclose,no importance
642,judaism and somewhat serious about it,judaism,somewhat serious
643,buddhism and laughing about it,buddhism,laughing
644,other and laughing about it,other,no importance
645,rather not disclose,rather not disclose,no importance
646,catholicism,catholicism,no importance
647,rather not disclose,rather not disclose,no importance
648,rather not disclose,rather not disclose,no importance
649,rather not disclose,rather not disclose,no importance
650,rather not disclose,rather not disclose,no importance
651,catholicism,catholicism,no importance
652,rather not disclose,rather not disclose,no importance
653,atheism and laughing about it,atheism,laughing
654,agnosticism,agnosticism,no importance
655,rather not disclose,rather not disclose,no importance
656,catholicism but not too serious about it,catholicism,not too serious
657,catholicism,catholicism,no importance
658,rather not disclose,rather not disclose,no importance
659,christianity but not too serious about it,christianity,not too serious
660,other but not too serious about it,other,no importance
661,atheism,atheism,no importance
662,agnosticism but not too serious about it,agnosticism,not too serious
663,agnosticism but not too serious about it,agnosticism,not too serious
664,other,other,no importance
665,agnosticism but not too serious about it,agnosticism,not too serious
666,christianity,christianity,no importance
667,other and laughing about it,other,no importance
668,judaism,judaism,no importance
669,atheism and very serious about it,atheism,very serious
670,rather not disclose,rather not disclose,no importance
671,other and somewhat serious about it,other,no importance
672,rather not disclose,rather not disclose,no importance
673,agnosticism and very serious about it,agnosticism,very serious
674,other,other,no importance
675,christianity but not too serious about it,christianity,not too serious
676,agnosticism and laughing about it,agnosticism,laughing
677,rather not disclose,rather not disclose,no importance
678,christianity and somewhat serious about it,christianity,somewhat serious
679,other but not too serious about it,other,no importance
680,rather not disclose,rather not disclose,no importance
681,other and laughing about it,other,no importance
682,rather not disclose,rather not disclose,no importance
683,catholicism,catholicism,no importance
684,rather not disclose,rather not disclose,no importance
685,agnosticism but not too serious about it,agnosticism,not too serious
686,rather not disclose,rather not disclose,no importance
687,agnosticism but not too serious about it,agnosticism,not too serious
688,rather not disclose,rather not disclose,no importance
689,atheism but not too serious about it,atheism,not too serious
690,rather not disclose,rather not disclose,no importance
691,catholicism but not too serious about it,catholicism,not too serious
692,rather not disclose,rather not disclose,no importance
693,judaism and laughing about it,judaism,laughing
694,buddhism,buddhism,no importance
695,rather not disclose,rather not disclose,no importance
696,atheism,atheism,no importance
697,other,other,no importance
698,rather not disclose,rather not disclose,no importance
699,other but not too serious about it,other,no importance
700,atheism,atheism,no importance
701,agnosticism and somewhat serious about it,agnosticism,somewhat serious
702,atheism,atheism,no importance
703,christianity and very serious about it,christianity,very serious
704,agnosticism but not too serious about it,agnosticism,not too serious
